sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
11,2,C,,processControl,,1..*,,,syntax,processControl,C0011,/C0001/C0011,$.invoice.processControl,invoice.processControl,,,processControl,
12,3,A,,specificationIdentifier,Text,0..1,,,syntax,processControl,A0012,/C0011/A0012,$.invoice.processControl.specificationIdentifier,invoice.processControl.specificationIdentifier,,,invoice_processControl_specificationIdentifier,/Invoice/cbc:CustomizationID
13,3,A,,businessProcessType,Text,0..1,,,syntax,processControl,A0013,/C0011/A0013,$.invoice.processControl.businessProcessType,invoice.processControl.businessProcessType,,,invoice_processControl_businessProcessType,/Invoice/cbc:ProfileID
14,2,A,,precedingInvoiceReference,Text,0..1,,,syntax,invoice,A0014,/C0001/A0014,$.invoice.precedingInvoiceReference,invoice.precedingInvoiceReference,,,invoice_precedingInvoiceReference,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference
15,2,C,,precedingInvoiceReference,,1..*,,,syntax,precedingInvoiceReference,C0015,/C0001/C0015,$.invoice.precedingInvoiceReference,invoice.precedingInvoiceReference,,,precedingInvoiceReference,
16,3,A,,precedingInvoiceReference,Text,0..1,,,syntax,precedingInvoiceReference,A0016,/C0015/A0016,$.invoice.precedingInvoiceReference.precedingInvoiceReference,invoice.precedingInvoiceReference.precedingInvoiceReference,,,invoice_precedingInvoiceReference_precedingInvoiceReference,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID
17,3,A,,precedingInvoiceIssueDate,Text,0..1,,,syntax,precedingInvoiceReference,A0017,/C0015/A0017,$.invoice.precedingInvoiceReference.precedingInvoiceIssueDate,invoice.precedingInvoiceReference.precedingInvoiceIssueDate,,,invoice_precedingInvoiceReference_precedingInvoiceIssueDate,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate
18,2,A,,seller,Text,0..1,,,syntax,invoice,A0018,/C0001/A0018,$.invoice.seller,invoice.seller,,,invoice_seller,/Invoice/cac:AccountingSupplierParty/cac:Party
19,2,C,,seller,,1..*,,,syntax,seller,C0019,/C0001/C0019,$.invoice.seller,invoice.seller,,,seller,
20,3,A,,sellerName,Text,0..1,,,syntax,seller,A0020,/C0019/A0020,$.invoice.seller.sellerName,invoice.seller.sellerName,,,invoice_seller_sellerName,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName
21,3,A,,sellerTradingName,Text,0..1,,,syntax,seller,A0021,/C0019/A0021,$.invoice.seller.sellerTradingName,invoice.seller.sellerTradingName,,,invoice_seller_sellerTradingName,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name
22,3,A,,sellerIdentifier,Text,0..1,,,syntax,seller,A0022,/C0019/A0022,$.invoice.seller.sellerIdentifier,invoice.seller.sellerIdentifier,,,invoice_seller_sellerIdentifier,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID
23,3,A,,sellerVatIdentifier,Text,0..1,,,syntax,seller,A0023,/C0019/A0023,$.invoice.seller.sellerVatIdentifier,invoice.seller.sellerVatIdentifier,,,invoice_seller_sellerVatIdentifier,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID
24,3,A,,sellerLegalRegistrationIdentifier,Text,0..1,,,syntax,seller,A0024,/C0019/A0024,$.invoice.seller.sellerLegalRegistrationIdentifier,invoice.seller.sellerLegalRegistrationIdentifier,,,invoice_seller_sellerLegalRegistrationIdentifier,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID
25,2,A,,buyer,Text,0..1,,,syntax,invoice,A0025,/C0001/A0025,$.invoice.buyer,invoice.buyer,,,invoice_buyer,/Invoice/cac:AccountingCustomerParty/cac:Party
26,2,C,,buyer,,1..*,,,syntax,buyer,C0026,/C0001/C0026,$.invoice.buyer,invoice.buyer,,,buyer,
27,3,A,,buyerName,Text,0..1,,,syntax,buyer,A0027,/C0026/A0027,$.invoice.buyer.buyerName,invoice.buyer.buyerName,,,invoice_buyer_buyerName,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName
28,3,A,,buyerTradingName,Text,0..1,,,syntax,buyer,A0028,/C0026/A0028,$.invoice.buyer.buyerTradingName,invoice.buyer.buyerTradingName,,,invoice_buyer_buyerTradingName,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name
29,3,A,,buyerIdentifier,Text,0..1,,,syntax,buyer,A0029,/C0026/A0029,$.invoice.buyer.buyerIdentifier,invoice.buyer.buyerIdentifier,,,invoice_buyer_buyerIdentifier,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID
30,3,A,,buyerVatIdentifier,Text,0..1,,,syntax,buyer,A0030,/C0026/A0030,$.invoice.buyer.buyerVatIdentifier,invoice.buyer.buyerVatIdentifier,,,invoice_buyer_buyerVatIdentifier,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID
31,3,A,,buyerLegalRegistrationIdentifier,Text,0..1,,,syntax,buyer,A0031,/C0026/A0031,$.invoice.buyer.buyerLegalRegistrationIdentifier,invoice.buyer.buyerLegalRegistrationIdentifier,,,invoice_buyer_buyerLegalRegistrationIdentifier,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID
32,3,A,,sellerPostalAddress,Text,0..1,,,syntax,seller,A0032,/C0019/A0032,$.invoice.seller.sellerPostalAddress,invoice.seller.sellerPostalAddress,,,invoice_seller_sellerPostalAddress,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress
33,3,C,,sellerPostalAddress,,1..*,,,syntax,sellerPostalAddress,C0033,/C0001/C0019/C0033,$.invoice.seller.sellerPostalAddress,invoice.seller.sellerPostalAddress,,,sellerPostalAddress,
34,4,A,,sellerAddressLine1,Text,0..1,,,syntax,sellerPostalAddress,A0034,/C0033/A0034,$.invoice.seller.sellerPostalAddress.sellerAddressLine1,invoice.seller.sellerPostalAddress.sellerAddressLine1,,,invoice_seller_sellerPostalAddress_sellerAddressLine1,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line
35,4,A,,sellerCity,Text,0..1,,,syntax,sellerPostalAddress,A0035,/C0033/A0035,$.invoice.seller.sellerPostalAddress.sellerCity,invoice.seller.sellerPostalAddress.sellerCity,,,invoice_seller_sellerPostalAddress_sellerCity,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName
36,4,A,,sellerPostCode,Text,0..1,,,syntax,sellerPostalAddress,A0036,/C0033/A0036,$.invoice.seller.sellerPostalAddress.sellerPostCode,invoice.seller.sellerPostalAddress.sellerPostCode,,,invoice_seller_sellerPostalAddress_sellerPostCode,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone
37,4,A,,sellerCountryCode,Text,0..1,,,syntax,sellerPostalAddress,A0037,/C0033/A0037,$.invoice.seller.sellerPostalAddress.sellerCountryCode,invoice.seller.sellerPostalAddress.sellerCountryCode,,,invoice_seller_sellerPostalAddress_sellerCountryCode,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode
38,3,A,,buyerPostalAddress,Text,0..1,,,syntax,buyer,A0038,/C0026/A0038,$.invoice.buyer.buyerPostalAddress,invoice.buyer.buyerPostalAddress,,,invoice_buyer_buyerPostalAddress,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress
39,3,C,,buyerPostalAddress,,1..*,,,syntax,buyerPostalAddress,C0039,/C0001/C0026/C0039,$.invoice.buyer.buyerPostalAddress,invoice.buyer.buyerPostalAddress,,,buyerPostalAddress,
40,4,A,,buyerAddressLine1,Text,0..1,,,syntax,buyerPostalAddress,A0040,/C0039/A0040,$.invoice.buyer.buyerPostalAddress.buyerAddressLine1,invoice.buyer.buyerPostalAddress.buyerAddressLine1,,,invoice_buyer_buyerPostalAddress_buyerAddressLine1,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line
41,4,A,,buyerCity,Text,0..1,,,syntax,buyerPostalAddress,A0041,/C0039/A0041,$.invoice.buyer.buyerPostalAddress.buyerCity,invoice.buyer.buyerPostalAddress.buyerCity,,,invoice_buyer_buyerPostalAddress_buyerCity,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName
42,4,A,,buyerPostCode,Text,0..1,,,syntax,buyerPostalAddress,A0042,/C0039/A0042,$.invoice.buyer.buyerPostalAddress.buyerPostCode,invoice.buyer.buyerPostalAddress.buyerPostCode,,,invoice_buyer_buyerPostalAddress_buyerPostCode,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone
43,4,A,,buyerCountryCode,Text,0..1,,,syntax,buyerPostalAddress,A0043,/C0039/A0043,$.invoice.buyer.buyerPostalAddress.buyerCountryCode,invoice.buyer.buyerPostalAddress.buyerCountryCode,,,invoice_buyer_buyerPostalAddress_buyerCountryCode,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode
44,2,A,,deliveryInformation,Text,0..1,,,syntax,invoice,A0044,/C0001/A0044,$.invoice.deliveryInformation,invoice.deliveryInformation,,,invoice_deliveryInformation,/Invoice/cac:Delivery
45,2,C,,deliveryInformation,,1..*,,,syntax,deliveryInformation,C0045,/C0001/C0045,$.invoice.deliveryInformation,invoice.deliveryInformation,,,deliveryInformation,
46,3,A,,actualDeliveryDate,Text,0..1,,,syntax,deliveryInformation,A0046,/C0045/A0046,$.invoice.deliveryInformation.actualDeliveryDate,invoice.deliveryInformation.actualDeliveryDate,,,invoice_deliveryInformation_actualDeliveryDate,/Invoice/cac:Delivery/cbc:ActualDeliveryDate
47,2,A,,paymentInstructions,Text,0..1,,,syntax,invoice,A0047,/C0001/A0047,$.invoice.paymentInstructions,invoice.paymentInstructions,,,invoice_paymentInstructions,/Invoice/cac:PaymentMeans
48,2,C,,paymentInstructions,,1..*,,,syntax,paymentInstructions,C0048,/C0001/C0048,$.invoice.paymentInstructions,invoice.paymentInstructions,,,paymentInstructions,
49,3,A,,paymentMeansTypeCode,Text,0..1,,,syntax,paymentInstructions,A0049,/C0048/A0049,$.invoice.paymentInstructions.paymentMeansTypeCode,invoice.paymentInstructions.paymentMeansTypeCode,,,invoice_paymentInstructions_paymentMeansTypeCode,/Invoice/cac:PaymentMeans/cbc:PaymentMeansCode
50,3,A,,paymentRemittanceInformation,Text,0..1,,,syntax,paymentInstructions,A0050,/C0048/A0050,$.invoice.paymentInstructions.paymentRemittanceInformation,invoice.paymentInstructions.paymentRemittanceInformation,,,invoice_paymentInstructions_paymentRemittanceInformation,/Invoice/cac:PaymentMeans/cbc:PaymentID
51,3,C,,paymentTerms,,1..*,,,syntax,paymentTerms,C0051,/C0001/C0048/C0051,$.invoice.paymentInstructions.paymentTerms,invoice.paymentInstructions.paymentTerms,,,paymentTerms,
52,4,A,,paymentAccountIdentifier,Text,0..1,,,syntax,paymentTerms,A0052,/C0051/A0052,$.invoice.paymentInstructions.paymentTerms.paymentAccountIdentifier,invoice.paymentInstructions.paymentTerms.paymentAccountIdentifier,,,invoice_paymentInstructions_paymentTerms_paymentAccountIdentifier,/Invoice/cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID
53,2,A,,paymentTerms,Text,0..1,,,syntax,invoice,A0053,/C0001/A0053,$.invoice.paymentTerms,invoice.paymentTerms,,,invoice_paymentTerms,/Invoice/cac:PaymentTerms
54,2,C,,paymentTerms,,1..*,,,syntax,paymentTerms,C0054,/C0001/C0054,$.invoice.paymentTerms,invoice.paymentTerms,,,paymentTerms_2,
55,3,A,,paymentTerms,Text,0..1,,,syntax,paymentTerms,A0055,/C0054/A0055,$.invoice.paymentTerms.paymentTerms,invoice.paymentTerms.paymentTerms,,,invoice_paymentTerms_paymentTerms,/Invoice/cac:PaymentTerms/cbc:Note
56,3,A,,paymentDueDate,Text,0..1,,,syntax,paymentTerms,A0056,/C0054/A0056,$.invoice.paymentTerms.paymentDueDate,invoice.paymentTerms.paymentDueDate,,,invoice_paymentTerms_paymentDueDate,/Invoice/cbc:DueDate
57,2,A,,documentLevelAllowances,Text,0..1,,,syntax,invoice,A0057,/C0001/A0057,$.invoice.documentLevelAllowances,invoice.documentLevelAllowances,,,invoice_documentLevelAllowances,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]
58,2,C,,documentLevelAllowances,,1..*,,,syntax,documentLevelAllowances,C0058,/C0001/C0058,$.invoice.documentLevelAllowances,invoice.documentLevelAllowances,,,documentLevelAllowances,
59,3,A,,documentLevelAllowanceAmount,Text,0..1,,,syntax,documentLevelAllowances,A0059,/C0058/A0059,$.invoice.documentLevelAllowances.documentLevelAllowanceAmount,invoice.documentLevelAllowances.documentLevelAllowanceAmount,,,invoice_documentLevelAllowances_documentLevelAllowanceAmount,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:Amount
60,2,A,,documentLevelCharges,Text,0..1,,,syntax,invoice,A0060,/C0001/A0060,$.invoice.documentLevelCharges,invoice.documentLevelCharges,,,invoice_documentLevelCharges,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]
61,2,C,,documentLevelCharges,,1..*,,,syntax,documentLevelCharges,C0061,/C0001/C0061,$.invoice.documentLevelCharges,invoice.documentLevelCharges,,,documentLevelCharges,
62,3,A,,documentLevelChargeAmount,Text,0..1,,,syntax,documentLevelCharges,A0062,/C0061/A0062,$.invoice.documentLevelCharges.documentLevelChargeAmount,invoice.documentLevelCharges.documentLevelChargeAmount,,,invoice_documentLevelCharges_documentLevelChargeAmount,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=true()]/cbc:Amount
63,2,A,,vatBreakdown,Text,0..1,,,syntax,invoice,A0063,/C0001/A0063,$.invoice.vatBreakdown,invoice.vatBreakdown,,,invoice_vatBreakdown,/Invoice/cac:TaxTotal/cac:TaxSubtotal
64,2,C,,vatBreakdown,,1..*,,,syntax,vatBreakdown,C0064,/C0001/C0064,$.invoice.vatBreakdown,invoice.vatBreakdown,,,vatBreakdown,
65,3,A,,vatCategoryTaxableAmount,Text,0..1,,,syntax,vatBreakdown,A0065,/C0064/A0065,$.invoice.vatBreakdown.vatCategoryTaxableAmount,invoice.vatBreakdown.vatCategoryTaxableAmount,,,invoice_vatBreakdown_vatCategoryTaxableAmount,/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxableAmount
66,3,A,,vatCategoryTaxAmount,Text,0..1,,,syntax,vatBreakdown,A0066,/C0064/A0066,$.invoice.vatBreakdown.vatCategoryTaxAmount,invoice.vatBreakdown.vatCategoryTaxAmount,,,invoice_vatBreakdown_vatCategoryTaxAmount,/Invoice/cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount
67,3,A,,vatCategoryCode,Text,0..1,,,syntax,vatBreakdown,A0067,/C0064/A0067,$.invoice.vatBreakdown.vatCategoryCode,invoice.vatBreakdown.vatCategoryCode,,,invoice_vatBreakdown_vatCategoryCode,/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:ID
68,3,A,,vatCategoryRate,Text,0..1,,,syntax,vatBreakdown,A0068,/C0064/A0068,$.invoice.vatBreakdown.vatCategoryRate,invoice.vatBreakdown.vatCategoryRate,,,invoice_vatBreakdown_vatCategoryRate,/Invoice/cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent
69,2,A,,documentTotals,Text,0..1,,,syntax,invoice,A0069,/C0001/A0069,$.invoice.documentTotals,invoice.documentTotals,,,invoice_documentTotals,/Invoice/cac:LegalMonetaryTotal
70,2,C,,documentTotals,,1..*,,,syntax,documentTotals,C0070,/C0001/C0070,$.invoice.documentTotals,invoice.documentTotals,,,documentTotals,
71,3,A,,sumOfInvoiceLineNetAmount,Text,0..1,,,syntax,documentTotals,A0071,/C0070/A0071,$.invoice.documentTotals.sumOfInvoiceLineNetAmount,invoice.documentTotals.sumOfInvoiceLineNetAmount,,,invoice_documentTotals_sumOfInvoiceLineNetAmount,/Invoice/cac:LegalMonetaryTotal/cbc:LineExtensionAmount
72,3,A,,sumOfAllowancesOnDocumentLevel,Text,0..1,,,syntax,documentTotals,A0072,/C0070/A0072,$.invoice.documentTotals.sumOfAllowancesOnDocumentLevel,invoice.documentTotals.sumOfAllowancesOnDocumentLevel,,,invoice_documentTotals_sumOfAllowancesOnDocumentLevel,/Invoice/cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount
73,3,A,,sumOfChargesOnDocumentLevel,Text,0..1,,,syntax,documentTotals,A0073,/C0070/A0073,$.invoice.documentTotals.sumOfChargesOnDocumentLevel,invoice.documentTotals.sumOfChargesOnDocumentLevel,,,invoice_documentTotals_sumOfChargesOnDocumentLevel,/Invoice/cac:LegalMonetaryTotal/cbc:ChargeTotalAmount
74,3,A,,invoiceTotalAmountWithoutVat,Text,0..1,,,syntax,documentTotals,A0074,/C0070/A0074,$.invoice.documentTotals.invoiceTotalAmountWithoutVat,invoice.documentTotals.invoiceTotalAmountWithoutVat,,,invoice_documentTotals_invoiceTotalAmountWithoutVat,/Invoice/cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount
75,3,A,,invoiceTotalVatAmount,Text,0..1,,,syntax,documentTotals,A0075,/C0070/A0075,$.invoice.documentTotals.invoiceTotalVatAmount,invoice.documentTotals.invoiceTotalVatAmount,,,invoice_documentTotals_invoiceTotalVatAmount,/Invoice/cac:TaxTotal/cbc:TaxAmount
76,3,A,,invoiceTotalAmountWithVat,Text,0..1,,,syntax,documentTotals,A0076,/C0070/A0076,$.invoice.documentTotals.invoiceTotalAmountWithVat,invoice.documentTotals.invoiceTotalAmountWithVat,,,invoice_documentTotals_invoiceTotalAmountWithVat,/Invoice/cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount
77,3,A,,amountDueForPayment,Text,0..1,,,syntax,documentTotals,A0077,/C0070/A0077,$.invoice.documentTotals.amountDueForPayment,invoice.documentTotals.amountDueForPayment,,,invoice_documentTotals_amountDueForPayment,/Invoice/cac:LegalMonetaryTotal/cbc:PayableAmount
78,2,A,,invoiceLine,Text,0..1,,,syntax,invoice,A0078,/C0001/A0078,$.invoice.invoiceLine,invoice.invoiceLine,,,invoice_invoiceLine,/Invoice/cac:InvoiceLine
79,2,C,,invoiceLine,,1..*,,,syntax,invoiceLine,C0079,/C0001/C0079,$.invoice.invoiceLine,invoice.invoiceLine,,,invoiceLine,
80,3,A,,invoiceLineIdentifier,Text,0..1,,,syntax,invoiceLine,A0080,/C0079/A0080,$.invoice.invoiceLine.invoiceLineIdentifier,invoice.invoiceLine.invoiceLineIdentifier,,,invoice_invoiceLine_invoiceLineIdentifier,/Invoice/cac:InvoiceLine/cbc:ID
81,3,A,,invoiceLineNote,Text,0..1,,,syntax,invoiceLine,A0081,/C0079/A0081,$.invoice.invoiceLine.invoiceLineNote,invoice.invoiceLine.invoiceLineNote,,,invoice_invoiceLine_invoiceLineNote,/Invoice/cac:InvoiceLine/cbc:Note
82,3,A,,invoiceLineNetAmount,Text,0..1,,,syntax,invoiceLine,A0082,/C0079/A0082,$.invoice.invoiceLine.invoiceLineNetAmount,invoice.invoiceLine.invoiceLineNetAmount,,,invoice_invoiceLine_invoiceLineNetAmount,/Invoice/cac:InvoiceLine/cbc:LineExtensionAmount
83,3,A,,invoicedQuantity,Text,0..1,,,syntax,invoiceLine,A0083,/C0079/A0083,$.invoice.invoiceLine.invoicedQuantity,invoice.invoiceLine.invoicedQuantity,,,invoice_invoiceLine_invoicedQuantity,/Invoice/cac:InvoiceLine/cbc:InvoicedQuantity
84,3,A,,invoicedQuantityUnitCode,Text,0..1,,,syntax,invoiceLine,A0084,/C0079/A0084,$.invoice.invoiceLine.invoicedQuantityUnitCode,invoice.invoiceLine.invoicedQuantityUnitCode,,,invoice_invoiceLine_invoicedQuantityUnitCode,/Invoice/cac:InvoiceLine/cbc:InvoicedQuantity/@unitCode
85,3,C,,itemInformation,,1..*,,,syntax,itemInformation,C0085,/C0001/C0079/C0085,$.invoice.invoiceLine.itemInformation,invoice.invoiceLine.itemInformation,,,itemInformation,
86,4,A,,itemName,Text,0..1,,,syntax,itemInformation,A0086,/C0085/A0086,$.invoice.invoiceLine.itemInformation.itemName,invoice.invoiceLine.itemInformation.itemName,,,invoice_invoiceLine_itemInformation_itemName,/Invoice/cac:InvoiceLine/cac:Item/cbc:Name
87,4,A,,itemDescription,Text,0..1,,,syntax,itemInformation,A0087,/C0085/A0087,$.invoice.invoiceLine.itemInformation.itemDescription,invoice.invoiceLine.itemInformation.itemDescription,,,invoice_invoiceLine_itemInformation_itemDescription,/Invoice/cac:InvoiceLine/cac:Item/cbc:Description
88,4,A,,itemSellerIdentifier,Text,0..1,,,syntax,itemInformation,A0088,/C0085/A0088,$.invoice.invoiceLine.itemInformation.itemSellerIdentifier,invoice.invoiceLine.itemInformation.itemSellerIdentifier,,,invoice_invoiceLine_itemInformation_itemSellerIdentifier,/Invoice/cac:InvoiceLine/cac:Item/cac:SellersItemIdentification/cbc:ID
89,3,C,,lineVatInformation,,1..*,,,syntax,lineVatInformation,C0089,/C0001/C0079/C0089,$.invoice.invoiceLine.lineVatInformation,invoice.invoiceLine.lineVatInformation,,,lineVatInformation,
90,4,A,,invoicedItemVatCategoryCode,Text,0..1,,,syntax,lineVatInformation,A0090,/C0089/A0090,$.invoice.invoiceLine.lineVatInformation.invoicedItemVatCategoryCode,invoice.invoiceLine.lineVatInformation.invoicedItemVatCategoryCode,,,invoice_invoiceLine_lineVatInformation_invoicedItemVatCategoryCode,/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:ID
91,4,A,,invoicedItemVatRate,Text,0..1,,,syntax,lineVatInformation,A0091,/C0089/A0091,$.invoice.invoiceLine.lineVatInformation.invoicedItemVatRate,invoice.invoiceLine.lineVatInformation.invoicedItemVatRate,,,invoice_invoiceLine_lineVatInformation_invoicedItemVatRate,/Invoice/cac:InvoiceLine/cac:Item/cac:ClassifiedTaxCategory/cbc:Percent
92,3,C,,priceDetails,,1..*,,,syntax,priceDetails,C0092,/C0001/C0079/C0092,$.invoice.invoiceLine.priceDetails,invoice.invoiceLine.priceDetails,,,priceDetails,
93,4,A,,itemNetPrice,Text,0..1,,,syntax,priceDetails,A0093,/C0092/A0093,$.invoice.invoiceLine.priceDetails.itemNetPrice,invoice.invoiceLine.priceDetails.itemNetPrice,,,invoice_invoiceLine_priceDetails_itemNetPrice,/Invoice/cac:InvoiceLine/cac:Price/cbc:PriceAmount
94,4,A,,itemPriceBaseQuantity,Text,0..1,,,syntax,priceDetails,A0094,/C0092/A0094,$.invoice.invoiceLine.priceDetails.itemPriceBaseQuantity,invoice.invoiceLine.priceDetails.itemPriceBaseQuantity,,,invoice_invoiceLine_priceDetails_itemPriceBaseQuantity,/Invoice/cac:InvoiceLine/cac:Price/cbc:BaseQuantity
95,4,A,,itemPriceBaseQuantityUnitCode,Text,0..1,,,syntax,priceDetails,A0095,/C0092/A0095,$.invoice.invoiceLine.priceDetails.itemPriceBaseQuantityUnitCode,invoice.invoiceLine.priceDetails.itemPriceBaseQuantityUnitCode,,,invoice_invoiceLine_priceDetails_itemPriceBaseQuantityUnitCode,/Invoice/cac:InvoiceLine/cac:Price/cbc:BaseQuantity/@unitCode
96,3,A,,documentLevelAllowanceBaseAmount,Text,0..1,,,syntax,documentLevelAllowances,A0096,/C0058/A0096,$.invoice.documentLevelAllowances.documentLevelAllowanceBaseAmount,invoice.documentLevelAllowances.documentLevelAllowanceBaseAmount,,,invoice_documentLevelAllowances_documentLevelAllowanceBaseAmount,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:BaseAmount
97,3,A,,documentLevelAllowancePercentage,Text,0..1,,,syntax,documentLevelAllowances,A0097,/C0058/A0097,$.invoice.documentLevelAllowances.documentLevelAllowancePercentage,invoice.documentLevelAllowances.documentLevelAllowancePercentage,,,invoice_documentLevelAllowances_documentLevelAllowancePercentage,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cbc:MultiplierFactorNumeric
98,3,A,,documentLevelAllowanceVatCategoryCode,Text,0..1,,,syntax,documentLevelAllowances,A0098,/C0058/A0098,$.invoice.documentLevelAllowances.documentLevelAllowanceVatCategoryCode,invoice.documentLevelAllowances.documentLevelAllowanceVatCategoryCode,,,invoice_documentLevelAllowances_documentLevelAllowanceVatCategoryCode,/Invoice/cac:AllowanceCharge[cbc:ChargeIndicator=false()]/cac:TaxCategory/cbc:ID
