dataset_id,as_of_date,account,account_name,normal_balance,opening_balance,source_type,source_reference
pca-synthetic-fy2021-v1,2021-04-01,2400,Demo Unearned Revenue,C,350000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,3000,Demo Capital,C,5000000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,3100,Demo Retained Earnings,C,26159010,BALANCING_EQUITY,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,4000,Demo Product Sales,C,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,4010,Demo Service Revenue,C,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,4020,Demo Other Operating Revenue,C,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,4030,Demo Interest Income,C,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,4040,Demo Miscellaneous Income,C,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,5000,Demo Purchases,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,5010,Demo Freight-in,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,5020,Demo Inventory Adjustment,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6000,Demo Salaries,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6010,Demo Statutory Welfare,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6020,Demo Office Rent,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6030,Demo Utilities,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6040,Demo Communication,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6050,Demo Business Travel,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6060,Demo Office Supplies,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6070,Demo Bank Fees,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6080,Demo Advertising,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6090,Demo Insurance,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6100,Demo Repairs,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6110,Demo Depreciation Expense,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6120,Demo Professional Fees,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6130,Demo Training,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6140,Demo Vehicle Expense,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6150,Demo Software Subscription,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6160,Demo Shipping,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,6170,Demo Miscellaneous Expense,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,7000,Demo Taxes and Dues,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,7010,Demo Corporate Tax,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,7020,Demo Consumption Tax Expense,D,0,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,8000,Demo Suspense,D,50000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
pca-synthetic-fy2021-v1,2021-04-01,8010,Demo Clearing,C,50000,SCENARIO_DESIGNED,seed 20260903 synthetic scenario
