Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81
20210406,900027,21,0,1,D04,Demo Logistics,2000,Demo Accounts Payable,V006,Demo Vendor Prairie,00,Out of scope,110390,0,1,D04,Demo Logistics,1100,Demo Central Ordinary Deposit,B001,Demo Central Bank,00,Out of scope,110390,0,Synthetic demo vendor settlement 900027,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210406120000,V006,Demo Vendor Prairie,,,,,,,B001,Demo Central Bank,,,,,,,,,,,,,,,
20210407,900045,21,0,1,D04,Demo Logistics,5000,Demo Purchases,V006,Demo Vendor Prairie,Q5,Taxable purchase 10%,95580,8689,1,D04,Demo Logistics,2000,Demo Accounts Payable,V006,Demo Vendor Prairie,00,Out of scope,95580,0,Synthetic demo purchase on account 900045,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210407120000,V006,Demo Vendor Prairie,,,,,,,V006,Demo Vendor Prairie,,,,,,,,,,,,,,,
20210407,900056,21,0,1,D04,Demo Logistics,5020,Demo Inventory Adjustment,V001,Demo Vendor Keystone,Q5,Taxable purchase 10%,222250,20205,1,D04,Demo Logistics,2000,Demo Accounts Payable,V001,Demo Vendor Keystone,00,Out of scope,222250,0,Synthetic demo purchase on account 900056,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210407120000,V001,Demo Vendor Keystone,,,,,,,V001,Demo Vendor Keystone,,,,,,,,,,,,,,,
20210408,900020,21,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C001,Demo Customer Aurora,00,Out of scope,65230,0,1,D01,Demo Sales,4020,Demo Other Operating Revenue,C001,Demo Customer Aurora,B5,Taxable sale 10%,65230,5930,Synthetic demo credit sale 900020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210408120000,C001,Demo Customer Aurora,,,,,,,C001,Demo Customer Aurora,,,,,,,,,,,,,,,
20210408,900028,21,0,1,D01,Demo Sales,1110,Demo North Current Deposit,B002,North Demo Bank,00,Out of scope,418510,0,,,,,,,,,,,,Synthetic demo mixed sales and receipt 900028,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210408120000,B002,North Demo Bank,,,,,,,,,,,,,,,,,,,,,,,
20210408,900028,21,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C009,Demo Customer Indigo,00,Out of scope,290830,0,,,,,,,,,,,,Synthetic demo mixed sales and receipt 900028,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210408120000,C009,Demo Customer Indigo,,,,,,,,,,,,,,,,,,,,,,,
20210408,900028,21,0,,,,,,,,,,,,1,D01,Demo Sales,4000,Demo Product Sales,C010,Demo Customer Juniper,B5,Taxable sale 10%,397230,36112,Synthetic demo mixed sales and receipt 900028,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210408120000,,,,,,,,,C010,Demo Customer Juniper,,,,,,,,,,,,,,,
20210408,900028,21,0,,,,,,,,,,,,1,D01,Demo Sales,4010,Demo Service Revenue,C001,Demo Customer Aurora,B5,Taxable sale 10%,312110,28374,Synthetic demo mixed sales and receipt 900028,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210408120000,,,,,,,,,C001,Demo Customer Aurora,,,,,,,,,,,,,,,
20210409,900037,21,0,1,D03,Demo Operations,6030,Demo Utilities,S002,Demo Energy Services,Q5,Taxable purchase 10%,374460,34042,1,D03,Demo Operations,1110,Demo North Current Deposit,B002,North Demo Bank,00,Out of scope,558900,0,Synthetic demo operating cost bundle 900037,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210409120000,S002,Demo Energy Services,,,,,,,B002,North Demo Bank,,,,,,,,,,,,,,,
20210409,900037,21,0,1,D03,Demo Operations,6040,Demo Communication,S003,Demo Network Services,Q5,Taxable purchase 10%,22350,2032,,,,,,,,,,,,Synthetic demo operating cost bundle 900037,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210409120000,S003,Demo Network Services,,,,,,,,,,,,,,,,,,,,,,,
20210409,900037,21,0,1,D03,Demo Operations,6060,Demo Office Supplies,V008,Demo Vendor Rivulet,Q5,Taxable purchase 10%,162090,14735,,,,,,,,,,,,Synthetic demo operating cost bundle 900037,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210409120000,V008,Demo Vendor Rivulet,,,,,,,,,,,,,,,,,,,,,,,
20210410,900004,21,0,1,D01,Demo Sales,1110,Demo North Current Deposit,B002,North Demo Bank,00,Out of scope,200680,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C003,Demo Customer Cobalt,00,Out of scope,200680,0,Synthetic demo customer receipt 900004,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210410120000,B002,North Demo Bank,,,,,,,C003,Demo Customer Cobalt,,,,,,,,,,,,,,,
20210411,900035,21,0,1,D04,Demo Logistics,5020,Demo Inventory Adjustment,V006,Demo Vendor Prairie,Q5,Taxable purchase 10%,181350,16486,1,D04,Demo Logistics,2000,Demo Accounts Payable,V006,Demo Vendor Prairie,00,Out of scope,181350,0,Synthetic demo purchase on account 900035,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210411120000,V006,Demo Vendor Prairie,,,,,,,V006,Demo Vendor Prairie,,,,,,,,,,,,,,,
20210412,900003,21,0,1,D01,Demo Sales,2000,Demo Accounts Payable,V004,Demo Vendor Nimbus,00,Out of scope,298830,0,,,,,,,,,,,,Synthetic demo multi-vendor settlement 900003,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210412120000,V004,Demo Vendor Nimbus,,,,,,,,,,,,,,,,,,,,,,,
20210412,900003,21,0,1,D01,Demo Sales,2100,Demo Accrued Payables,V007,Demo Vendor Quartz,00,Out of scope,380340,0,,,,,,,,,,,,Synthetic demo multi-vendor settlement 900003,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210412120000,V007,Demo Vendor Quartz,,,,,,,,,,,,,,,,,,,,,,,
20210412,900003,21,0,,,,,,,,,,,,1,D01,Demo Sales,1100,Demo Central Ordinary Deposit,B001,Demo Central Bank,00,Out of scope,516160,0,Synthetic demo multi-vendor settlement 900003,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210412120000,,,,,,,,,B001,Demo Central Bank,,,,,,,,,,,,,,,
20210412,900003,21,0,,,,,,,,,,,,1,D01,Demo Sales,1110,Demo North Current Deposit,B002,North Demo Bank,00,Out of scope,163010,0,Synthetic demo multi-vendor settlement 900003,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210412120000,,,,,,,,,B002,North Demo Bank,,,,,,,,,,,,,,,
20210412,900043,21,0,1,D03,Demo Operations,6030,Demo Utilities,S002,Demo Energy Services,Q5,Taxable purchase 10%,108570,9870,1,D03,Demo Operations,1110,Demo North Current Deposit,B002,North Demo Bank,00,Out of scope,402120,0,Synthetic demo operating cost bundle 900043,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210412120000,S002,Demo Energy Services,,,,,,,B002,North Demo Bank,,,,,,,,,,,,,,,
20210412,900043,21,0,1,D03,Demo Operations,6040,Demo Communication,S003,Demo Network Services,Q5,Taxable purchase 10%,80420,7311,,,,,,,,,,,,Synthetic demo operating cost bundle 900043,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210412120000,S003,Demo Network Services,,,,,,,,,,,,,,,,,,,,,,,
20210412,900043,21,0,1,D03,Demo Operations,6060,Demo Office Supplies,V004,Demo Vendor Nimbus,Q5,Taxable purchase 10%,213130,19375,,,,,,,,,,,,Synthetic demo operating cost bundle 900043,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210412120000,V004,Demo Vendor Nimbus,,,,,,,,,,,,,,,,,,,,,,,
20210412,900060,21,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C001,Demo Customer Aurora,00,Out of scope,227480,0,1,D01,Demo Sales,4000,Demo Product Sales,C001,Demo Customer Aurora,B5,Taxable sale 10%,227480,20680,Synthetic demo credit sale 900060,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210412120000,C001,Demo Customer Aurora,,,,,,,C001,Demo Customer Aurora,,,,,,,,,,,,,,,
20210414,900026,21,0,1,D04,Demo Logistics,5020,Demo Inventory Adjustment,V001,Demo Vendor Keystone,Q5,Taxable purchase 10%,78360,7124,1,D04,Demo Logistics,2000,Demo Accounts Payable,V001,Demo Vendor Keystone,00,Out of scope,78360,0,Synthetic demo purchase on account 900026,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210414120000,V001,Demo Vendor Keystone,,,,,,,V001,Demo Vendor Keystone,,,,,,,,,,,,,,,
20210414,900044,21,0,1,D01,Demo Sales,1120,Demo Harbor Ordinary Deposit,B003,Harbor Demo Bank,00,Out of scope,489180,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C003,Demo Customer Cobalt,00,Out of scope,489180,0,Synthetic demo customer receipt 900044,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210414120000,B003,Harbor Demo Bank,,,,,,,C003,Demo Customer Cobalt,,,,,,,,,,,,,,,
20210415,900031,21,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C004,Demo Customer Dawn,00,Out of scope,372520,0,1,D01,Demo Sales,4010,Demo Service Revenue,C004,Demo Customer Dawn,B5,Taxable sale 10%,372520,33865,Synthetic demo credit sale 900031,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210415120000,C004,Demo Customer Dawn,,,,,,,C004,Demo Customer Dawn,,,,,,,,,,,,,,,
20210415,900033,21,0,1,D01,Demo Sales,1100,Demo Central Ordinary Deposit,B001,Demo Central Bank,00,Out of scope,341050,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C010,Demo Customer Juniper,00,Out of scope,341050,0,Synthetic demo customer receipt 900033,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210415120000,B001,Demo Central Bank,,,,,,,C010,Demo Customer Juniper,,,,,,,,,,,,,,,
20210415,900048,21,0,1,D02,Demo Administration,6140,Demo Vehicle Expense,V001,Demo Vendor Keystone,Q5,Taxable purchase 10%,132570,12052,1,D02,Demo Administration,1100,Demo Central Ordinary Deposit,B001,Demo Central Bank,00,Out of scope,132570,0,Synthetic demo operating expense 900048,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210415120000,V001,Demo Vendor Keystone,,,,,,,B001,Demo Central Bank,,,,,,,,,,,,,,,
20210415,900049,21,0,1,D01,Demo Sales,2000,Demo Accounts Payable,V010,Demo Vendor Tandem,00,Out of scope,146320,0,,,,,,,,,,,,Synthetic demo multi-vendor settlement 900049,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210415120000,V010,Demo Vendor Tandem,,,,,,,,,,,,,,,,,,,,,,,
20210415,900049,21,0,1,D01,Demo Sales,2100,Demo Accrued Payables,V003,Demo Vendor Mosaic,00,Out of scope,54120,0,,,,,,,,,,,,Synthetic demo multi-vendor settlement 900049,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210415120000,V003,Demo Vendor Mosaic,,,,,,,,,,,,,,,,,,,,,,,
20210415,900049,21,0,,,,,,,,,,,,1,D01,Demo Sales,1110,Demo North Current Deposit,B002,North Demo Bank,00,Out of scope,156340,0,Synthetic demo multi-vendor settlement 900049,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210415120000,,,,,,,,,B002,North Demo Bank,,,,,,,,,,,,,,,
20210415,900049,21,0,,,,,,,,,,,,1,D01,Demo Sales,1120,Demo Harbor Ordinary Deposit,B003,Harbor Demo Bank,00,Out of scope,44100,0,Synthetic demo multi-vendor settlement 900049,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210415120000,,,,,,,,,B003,Harbor Demo Bank,,,,,,,,,,,,,,,
20210416,900014,21,0,1,D01,Demo Sales,1120,Demo Harbor Ordinary Deposit,B003,Harbor Demo Bank,00,Out of scope,270050,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C003,Demo Customer Cobalt,00,Out of scope,270050,0,Synthetic demo customer receipt 900014,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210416120000,B003,Harbor Demo Bank,,,,,,,C003,Demo Customer Cobalt,,,,,,,,,,,,,,,
20210416,900034,21,0,1,D01,Demo Sales,1110,Demo North Current Deposit,B002,North Demo Bank,00,Out of scope,388000,0,,,,,,,,,,,,Synthetic demo mixed sales and receipt 900034,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210416120000,B002,North Demo Bank,,,,,,,,,,,,,,,,,,,,,,,
20210416,900034,21,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C005,Demo Customer Elm,00,Out of scope,280970,0,,,,,,,,,,,,Synthetic demo mixed sales and receipt 900034,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210416120000,C005,Demo Customer Elm,,,,,,,,,,,,,,,,,,,,,,,
20210416,900034,21,0,,,,,,,,,,,,1,D01,Demo Sales,4000,Demo Product Sales,C006,Demo Customer Fjord,B5,Taxable sale 10%,247510,22501,Synthetic demo mixed sales and receipt 900034,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210416120000,,,,,,,,,C006,Demo Customer Fjord,,,,,,,,,,,,,,,
20210416,900034,21,0,,,,,,,,,,,,1,D01,Demo Sales,4010,Demo Service Revenue,C007,Demo Customer Grove,R5,Taxable sale 8%,421460,31219,Synthetic demo mixed sales and receipt 900034,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210416120000,,,,,,,,,C007,Demo Customer Grove,,,,,,,,,,,,,,,
20210416,900046,21,0,1,D01,Demo Sales,1110,Demo North Current Deposit,B002,North Demo Bank,00,Out of scope,424770,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C007,Demo Customer Grove,00,Out of scope,254860,0,Synthetic demo combined customer receipt 900046,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210416120000,B002,North Demo Bank,,,,,,,C007,Demo Customer Grove,,,,,,,,,,,,,,,
20210416,900046,21,0,,,,,,,,,,,,1,D01,Demo Sales,1200,Demo Accounts Receivable,C008,Demo Customer Halo,00,Out of scope,33980,0,Synthetic demo combined customer receipt 900046,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210416120000,,,,,,,,,C008,Demo Customer Halo,,,,,,,,,,,,,,,
20210416,900046,21,0,,,,,,,,,,,,1,D01,Demo Sales,1200,Demo Accounts Receivable,C009,Demo Customer Indigo,00,Out of scope,135930,0,Synthetic demo combined customer receipt 900046,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210416120000,,,,,,,,,C009,Demo Customer Indigo,,,,,,,,,,,,,,,
20210416,900058,21,0,1,D03,Demo Operations,6030,Demo Utilities,S002,Demo Energy Services,Q5,Taxable purchase 10%,92840,8440,1,D03,Demo Operations,1110,Demo North Current Deposit,B002,North Demo Bank,00,Out of scope,515790,0,Synthetic demo operating cost bundle 900058,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210416120000,S002,Demo Energy Services,,,,,,,B002,North Demo Bank,,,,,,,,,,,,,,,
20210416,900058,21,0,1,D03,Demo Operations,6040,Demo Communication,S003,Demo Network Services,Q5,Taxable purchase 10%,154730,14066,,,,,,,,,,,,Synthetic demo operating cost bundle 900058,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210416120000,S003,Demo Network Services,,,,,,,,,,,,,,,,,,,,,,,
20210416,900058,21,0,1,D03,Demo Operations,6060,Demo Office Supplies,V009,Demo Vendor Summit,Q5,Taxable purchase 10%,268220,24384,,,,,,,,,,,,Synthetic demo operating cost bundle 900058,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210416120000,V009,Demo Vendor Summit,,,,,,,,,,,,,,,,,,,,,,,
20210417,900007,21,0,1,D04,Demo Logistics,2000,Demo Accounts Payable,V006,Demo Vendor Prairie,00,Out of scope,106280,0,1,D04,Demo Logistics,1110,Demo North Current Deposit,B002,North Demo Bank,00,Out of scope,106280,0,Synthetic demo vendor settlement 900007,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210417120000,V006,Demo Vendor Prairie,,,,,,,B002,North Demo Bank,,,,,,,,,,,,,,,
20210417,900051,21,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C004,Demo Customer Dawn,00,Out of scope,496230,0,1,D01,Demo Sales,4000,Demo Product Sales,C004,Demo Customer Dawn,B5,Taxable sale 10%,496230,45112,Synthetic demo credit sale 900051,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210417120000,C004,Demo Customer Dawn,,,,,,,C004,Demo Customer Dawn,,,,,,,,,,,,,,,
20210418,900008,21,0,1,D05,Demo Digital Services,6100,Demo Repairs,V001,Demo Vendor Keystone,Q5,Taxable purchase 10%,71340,6485,1,D05,Demo Digital Services,1120,Demo Harbor Ordinary Deposit,B003,Harbor Demo Bank,00,Out of scope,71340,0,Synthetic demo operating expense 900008,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210418120000,V001,Demo Vendor Keystone,,,,,,,B003,Harbor Demo Bank,,,,,,,,,,,,,,,
20210418,900023,21,0,1,D01,Demo Sales,1120,Demo Harbor Ordinary Deposit,B003,Harbor Demo Bank,00,Out of scope,323360,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C010,Demo Customer Juniper,00,Out of scope,323360,0,Synthetic demo customer receipt 900023,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210418120000,B003,Harbor Demo Bank,,,,,,,C010,Demo Customer Juniper,,,,,,,,,,,,,,,
20210419,900030,21,0,1,D02,Demo Administration,6000,Demo Salaries,,,00,Out of scope,277600,0,1,D02,Demo Administration,1100,Demo Central Ordinary Deposit,B001,Demo Central Bank,00,Out of scope,660970,0,Synthetic demo monthly payroll bundle 900030,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210419120000,,,,,,,,,B001,Demo Central Bank,,,,,,,,,,,,,,,
20210419,900030,21,0,1,D02,Demo Administration,6010,Demo Statutory Welfare,,,00,Out of scope,112360,0,,,,,,,,,,,,Synthetic demo monthly payroll bundle 900030,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210419120000,,,,,,,,,,,,,,,,,,,,,,,,,
20210419,900030,21,0,1,D02,Demo Administration,2110,Demo Payroll Withholding,,,00,Out of scope,271010,0,,,,,,,,,,,,Synthetic demo monthly payroll bundle 900030,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210419120000,,,,,,,,,,,,,,,,,,,,,,,,,
20210419,900032,21,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C007,Demo Customer Grove,00,Out of scope,104340,0,1,D01,Demo Sales,4020,Demo Other Operating Revenue,C007,Demo Customer Grove,B5,Taxable sale 10%,104340,9485,Synthetic demo credit sale 900032,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210419120000,C007,Demo Customer Grove,,,,,,,C007,Demo Customer Grove,,,,,,,,,,,,,,,
20210419,900036,21,0,1,D04,Demo Logistics,5000,Demo Purchases,V001,Demo Vendor Keystone,Q5,Taxable purchase 10%,68760,6251,1,D04,Demo Logistics,2000,Demo Accounts Payable,V001,Demo Vendor Keystone,00,Out of scope,68760,0,Synthetic demo purchase on account 900036,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210419120000,V001,Demo Vendor Keystone,,,,,,,V001,Demo Vendor Keystone,,,,,,,,,,,,,,,
20210419,900055,21,0,1,D01,Demo Sales,2000,Demo Accounts Payable,V006,Demo Vendor Prairie,00,Out of scope,87280,0,,,,,,,,,,,,Synthetic demo multi-vendor settlement 900055,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210419120000,V006,Demo Vendor Prairie,,,,,,,,,,,,,,,,,,,,,,,
20210419,900055,21,0,1,D01,Demo Sales,2100,Demo Accrued Payables,V009,Demo Vendor Summit,00,Out of scope,194270,0,,,,,,,,,,,,Synthetic demo multi-vendor settlement 900055,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210419120000,V009,Demo Vendor Summit,,,,,,,,,,,,,,,,,,,,,,,
20210419,900055,21,0,,,,,,,,,,,,1,D01,Demo Sales,1110,Demo North Current Deposit,B002,North Demo Bank,00,Out of scope,219600,0,Synthetic demo multi-vendor settlement 900055,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210419120000,,,,,,,,,B002,North Demo Bank,,,,,,,,,,,,,,,
20210419,900055,21,0,,,,,,,,,,,,1,D01,Demo Sales,1120,Demo Harbor Ordinary Deposit,B003,Harbor Demo Bank,00,Out of scope,61950,0,Synthetic demo multi-vendor settlement 900055,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210419120000,,,,,,,,,B003,Harbor Demo Bank,,,,,,,,,,,,,,,
20210420,900005,21,0,1,D06,Demo Management,2200,Demo Short-term Loans,,,00,Out of scope,127550,0,1,D06,Demo Management,1120,Demo Harbor Ordinary Deposit,B003,Harbor Demo Bank,00,Out of scope,398610,0,Synthetic demo financing settlement 900005,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210420120000,,,,,,,,,B003,Harbor Demo Bank,,,,,,,,,,,,,,,
20210420,900005,21,0,1,D06,Demo Management,6070,Demo Bank Fees,B003,Harbor Demo Bank,00,Out of scope,187340,0,,,,,,,,,,,,Synthetic demo financing settlement 900005,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210420120000,B003,Harbor Demo Bank,,,,,,,,,,,,,,,,,,,,,,,
20210420,900005,21,0,1,D06,Demo Management,7000,Demo Taxes and Dues,,,P0,Non-taxable purchase,83720,0,,,,,,,,,,,,Synthetic demo financing settlement 900005,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210420120000,,,,,,,,,,,,,,,,,,,,,,,,,
