sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
11,adc,4,A,,Accounting Period,String,1..1,,Accounting-period identifier within the fiscal year.,会計期間,会計期間を保持する。,ISO21378-FDIS-T58-03,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance.adc_AccountingPeriod,adc,GL Accounts Period Balance,accountingPeriod,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance/uadc-adc:AccountingPeriod
12,adc,4,A,,Debit Quantity,Decimal,0..1,,Quantity accumulated on the debit side in the period.,期間借方数量,期間借方数量を保持する。,ISO21378-FDIS-T58-04,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance.adc_DebitQuantity,adc,GL Accounts Period Balance,debitQuantity,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance/uadc-adc:DebitQuantity
13,adc,4,A,,Credit Quantity,Decimal,0..1,,Quantity accumulated on the credit side in the period.,期間貸方数量,期間貸方数量を保持する。,ISO21378-FDIS-T58-05,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance.adc_CreditQuantity,adc,GL Accounts Period Balance,creditQuantity,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance/uadc-adc:CreditQuantity
14,adc,4,A,,Beginning Quantity,Decimal,0..1,,Quantity at the beginning of the period.,期首数量,期首数量を保持する。,ISO21378-FDIS-T58-06,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance.adc_BeginningQuantity,adc,GL Accounts Period Balance,beginningQuantity,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance/uadc-adc:BeginningQuantity
15,adc,4,A,,Ending Quantity,Decimal,0..1,,Quantity at the end of the period.,期末数量,期末数量を保持する。,ISO21378-FDIS-T58-07,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance.adc_EndingQuantity,adc,GL Accounts Period Balance,endingQuantity,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance/uadc-adc:EndingQuantity
16,adc,4,A,,Uom Code,String,0..1,,Measurement-unit identifier for quantity values.,数量単位コード,数量単位コードを保持する。,ISO21378-FDIS-T58-08,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance.adc_UOMCode,adc,GL Accounts Period Balance,uomCode,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance/uadc-adc:UOMCode
17,adc,4,A,,Debit Amount,Decimal,0..1,,Period debit total without a functional/reporting/local/transaction distinction.,期間借方額,期間借方額を保持する。,ISO21378-FDIS-T58-09-10-11-12,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance.adc_DebitAmount,adc,GL Accounts Period Balance,debitAmount,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance/uadc-adc:DebitAmount
18,adc,4,A,,Credit Amount,Decimal,0..1,,Period credit total without a functional/reporting/local/transaction distinction.,期間貸方額,期間貸方額を保持する。,ISO21378-FDIS-T58-13-14-15-16,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance.adc_CreditAmount,adc,GL Accounts Period Balance,creditAmount,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance/uadc-adc:CreditAmount
19,adc,4,A,,Beg Balance Indicator,String,0..1,,Debit-or-credit direction of the beginning balance.,期首残高方向,期首残高方向を保持する。,ISO21378-FDIS-T58-17,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance.adc_BEGBalanceIndicator,adc,GL Accounts Period Balance,begBalanceIndicator,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance/uadc-adc:BEGBalanceIndicator
20,adc,4,A,,Ending Balance Indicator,String,0..1,,Debit-or-credit direction of the ending balance.,期末残高方向,期末残高方向を保持する。,ISO21378-FDIS-T58-18,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance.adc_EndingBalanceIndicator,adc,GL Accounts Period Balance,endingBalanceIndicator,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance/uadc-adc:EndingBalanceIndicator
21,adc,4,A,,Beginning Balance,Decimal,0..1,,Beginning balance without a functional/reporting/local/transaction distinction.,期首残高,期首残高を保持する。,ISO21378-FDIS-T58-19-20-21-22,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance.adc_BeginningBalance,adc,GL Accounts Period Balance,beginningBalance,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance/uadc-adc:BeginningBalance
22,adc,4,A,,Ending Balance,Decimal,0..1,,Ending balance without a functional/reporting/local/transaction distinction.,期末残高,期末残高を保持する。,ISO21378-FDIS-T58-23-24-25-26,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance.adc_EndingBalance,adc,GL Accounts Period Balance,endingBalance,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance/uadc-adc:EndingBalance
23,adc,4,A,,Currency Code,String,0..1,,Currency identifier shared by the balance amounts in this profile.,通貨コード,通貨コードを保持する。,ISO21378-FDIS-T58-27-28-29-30,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance.adc_CurrencyCode,adc,GL Accounts Period Balance,currencyCode,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:AccountBalance/uadc-adc:PeriodBalance/uadc-adc:CurrencyCode
24,adc,2,C,,Business Segment,,0..*,Composition,A business segment composition referenced by the period-balance source model.,事業セグメント,期間残高の元モデルから参照される事業セグメントの構成。,ISO21378-FDIS-T58-35;ISO21378-FDIS-T04,$.adc_GLAccountsPeriodBalances.adc_BusinessSegment,bas,Business Segment,businessSegment,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:BusinessSegment
25,adc,3,A,,Business Segment Code,String,1..1,,Identifier of the business segment.,事業セグメントコード,事業セグメントの識別子。,ISO21378-FDIS-T04-01,$.adc_GLAccountsPeriodBalances.adc_BusinessSegment.adc_BusinessSegmentCode,bas,Business Segment,businessSegmentCode,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:BusinessSegment/uadc-adc:BusinessSegmentCode
26,adc,3,A,,Business Segment Name,String,0..1,,Name of the business segment.,事業セグメント名,事業セグメントの名称。,ISO21378-FDIS-T04-02,$.adc_GLAccountsPeriodBalances.adc_BusinessSegment.adc_BusinessSegmentName,bas,Business Segment,businessSegmentName,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:BusinessSegment/uadc-adc:BusinessSegmentName
27,adc,3,A,,Segment Reference Level,String,0..1,,Relative organizational level of the segment.,セグメント参照レベル,事業セグメントの相対的な組織階層。,ISO21378-FDIS-T04-03,$.adc_GLAccountsPeriodBalances.adc_BusinessSegment.adc_SegmentReferenceLevel,bas,Business Segment,segmentReferenceLevel,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:BusinessSegment/uadc-adc:SegmentReferenceLevel
28,adc,3,A,,Organization Type Name,String,0..1,,Name of the organization type represented by the segment.,組織種別名,事業セグメントが表す組織種別の名称。,ISO21378-FDIS-T04-04,$.adc_GLAccountsPeriodBalances.adc_BusinessSegment.adc_OrganizationTypeName,bas,Business Segment,organizationTypeName,/xbrli:xbrl/uadc-adc:GLAccountsPeriodBalances/uadc-adc:BusinessSegment/uadc-adc:OrganizationTypeName
