sequence,level,type,id,name,datatype,multiplicity,column,semantic_path,occurrence_mode,group_key,row_role,max_occurs,default_value,transformation,required,note
0362,5,A,CO17-02,Account Description (借方),String,0..1,Column9,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountDescription,,,,,,,,最新版Accounting Entries HMD（398行）に解決済み。条件predicateはBinding情報でありHMD照合時に除去する。 物理列=Column9、ordinal=9。
0375,5,C,CO17-15,Subaccount: auxiliary-account (借方),,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'],single,,group,,,,,最新版HMDのSubaccount枝に解決済み。Type='auxiliary-account'で補助科目occurrenceを識別する。
0378,6,A,CO15-03,Type: auxiliary-account (借方),Token,0..1,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_Type,,,,,auxiliary-account,,true,補助科目を識別するプロファイル値auxiliary-accountをdefault_valueから生成する。predicateはBinding情報でありHMD照合時に除去する。
0377,6,A,CO15-02,Subaccount ID: auxiliary-account (借方),String,0..1,Column10,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_SubaccountID,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='auxiliary-account'で補助科目occurrenceを識別する。 物理列=Column10、ordinal=10。
0376,6,A,CO15-01,Subaccount Description: auxiliary-account (借方),String,0..1,Column11,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_SubaccountDescription,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='auxiliary-account'で補助科目occurrenceを識別する。 物理列=Column11、ordinal=11。
0331,4,C,CO21-27,Detail_ Tax (借方),,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax,single,,group,,,,,最新版HMDのDetail Tax枝に解決済み。本Flatプロファイルでは各D/C Detailにつき税occurrenceを最大1件として扱う。
0338,5,A,CO19-07,Tax Category (借方),String,0..1,Column12,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_TaxCategory,,,,,,,,税区分コードだけをTax Categoryへ結合する。税区分名はTax Descriptionへ結合せず、税区分マスターによる後段enrichmentとする。 物理列=Column12、ordinal=12。
0335,5,A,CO19-04,Amount of Taxes (借方),Monetary,0..1,Column15,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_AmountofTaxes,,,,,,,,PCA借方消費税額。借方税区分と同じDetailTax occurrenceへ所属させる。 物理列=Column15、ordinal=15。
0382,4,A,CO21-31,Monetary Amount (借方),Monetary,0..1,Column14,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_MonetaryAmount,,,,,,,,PCA借方金額。借方側の物理列に基づき、生成する借方EntryDetailへ所属させる。 物理列=Column14、ordinal=14。
0385,4,A,CO21-34,Debit/Credit Indicator (貸方),Token,0..1,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DebitCreditIndicator,,,,,C,,true,Flat CSVに対応列がないため定数Cを設定する。Detail selectorと同じ値。
0360,4,C,CO21-29,Detail_ Account Identifier (貸方),,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier,single,,group,,,,,最新版Accounting Entries HMD（398行）に解決済み。条件predicateはBinding情報でありHMD照合時に除去する。
0375,5,C,CO17-15,Subaccount: department (貸方),,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],single,,group,,,,,最新版HMDのSubaccount枝に解決済み。Type='department'で部門occurrenceを識別する。
0378,6,A,CO15-03,Type: department (貸方),Token,0..1,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,,,,,department,,true,部門を識別するプロファイル値departmentをdefault_valueから生成する。predicateはBinding情報でありHMD照合時に除去する。
0377,6,A,CO15-02,Subaccount ID: department (貸方),String,0..1,Column17,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='department'で部門occurrenceを識別する。 物理列=Column17、ordinal=17。
0376,6,A,CO15-01,Subaccount Description: department (貸方),String,0..1,Column18,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='department'で部門occurrenceを識別する。 物理列=Column18、ordinal=18。
0361,5,A,CO17-01,Account Number (貸方),String,0..1,Column19,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_AccountNumber,,,,,,,,最新版Accounting Entries HMD（398行）に解決済み。条件predicateはBinding情報でありHMD照合時に除去する。 物理列=Column19、ordinal=19。
0362,5,A,CO17-02,Account Description (貸方),String,0..1,Column20,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_AccountDescription,,,,,,,,最新版Accounting Entries HMD（398行）に解決済み。条件predicateはBinding情報でありHMD照合時に除去する。 物理列=Column20、ordinal=20。
0375,5,C,CO17-15,Subaccount: auxiliary-account (貸方),,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'],single,,group,,,,,最新版HMDのSubaccount枝に解決済み。Type='auxiliary-account'で補助科目occurrenceを識別する。
0378,6,A,CO15-03,Type: auxiliary-account (貸方),Token,0..1,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_Type,,,,,auxiliary-account,,true,補助科目を識別するプロファイル値auxiliary-accountをdefault_valueから生成する。predicateはBinding情報でありHMD照合時に除去する。
0377,6,A,CO15-02,Subaccount ID: auxiliary-account (貸方),String,0..1,Column21,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_SubaccountID,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='auxiliary-account'で補助科目occurrenceを識別する。 物理列=Column21、ordinal=21。
0376,6,A,CO15-01,Subaccount Description: auxiliary-account (貸方),String,0..1,Column22,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_SubaccountDescription,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='auxiliary-account'で補助科目occurrenceを識別する。 物理列=Column22、ordinal=22。
0331,4,C,CO21-27,Detail_ Tax (貸方),,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax,single,,group,,,,,最新版HMDのDetail Tax枝に解決済み。本Flatプロファイルでは各D/C Detailにつき税occurrenceを最大1件として扱う。
0338,5,A,CO19-07,Tax Category (貸方),String,0..1,Column23,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_TaxCategory,,,,,,,,税区分コードだけをTax Categoryへ結合する。税区分名はTax Descriptionへ結合せず、税区分マスターによる後段enrichmentとする。 物理列=Column23、ordinal=23。
0335,5,A,CO19-04,Amount of Taxes (貸方),Monetary,0..1,Column26,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_AmountofTaxes,,,,,,,,PCA貸方消費税額。貸方税区分と同じDetailTax occurrenceへ所属させる。 物理列=Column26、ordinal=26。
0382,4,A,CO21-31,Monetary Amount (貸方),Monetary,0..1,Column25,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_MonetaryAmount,,,,,,,,PCA貸方金額。貸方側の物理列に基づき、生成する貸方EntryDetailへ所属させる。 物理列=Column25、ordinal=25。
0381,4,A,CO21-30,Detail_ Description (共通),String,0..1,Column27,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,,,,,,,,PCA共通摘要Column27は共通テンプレートに一度だけ定義し、forwardでは生成されたD/C EntryDetailへ継承する。reverseで複数の非空値がある場合は後処理値で上書きし、エラーにせず終了時ログへ対象columnと件数だけを集計する。 物理列=Column27、ordinal=27。
