sequence,syntax_sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,default_value,transformation,required,note
79,0000.0003.0004.0005,2,2,C,,Payee,,0..1,,"Project-defined Payee in the Payee context, represented as structured information.",en16931,Payee,BG-10,$.invoice.payee,,,Payee,ram:PayeeTradeParty,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty,,,false,
80,0000.0003.0004.0005.0003,3,3,A,,Payee name,Text,1..1,,"Project-defined Payee name in the Payee context, represented as Text.",en16931,Payee,BT-59,$.invoice.payee.payeeName,,,PayeeName,ram:Name,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:Name,,,true,
81,0000.0003.0004.0005.0002,3,3,A,,Payee identifier,Identifier,0..1,,"Project-defined Payee identifier in the Payee context, represented as Identifier.",en16931,Payee,BT-60,$.invoice.payee[payeeIdentifierSchemeIdentifier].payeeIdentifier,,,PayeeIdentifier,ram:GlobalID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:GlobalID,,CII_IDENTIFIER_VARIANT_GLOBAL,false,
81,0000.0003.0004.0005.0001,3,3,A,,Payee identifier,Identifier,0..1,,"Project-defined Payee identifier in the Payee context, represented as Identifier.",en16931,Payee,BT-60,$.invoice.payee[not(payeeIdentifierSchemeIdentifier)].payeeIdentifier,,,PayeeIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:ID,,CII_IDENTIFIER_VARIANT_LOCAL,false,
82,0000.0003.0004.0005.0002@schemeID,3,3,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Payee context, represented as Identifier.",en16931,Payee,BT-60-1,$.invoice.payee[payeeIdentifierSchemeIdentifier].payeeIdentifierSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:GlobalID/@schemeID,,,false,
83,0000.0003.0004.0005.0004.0001,3,3,A,,Payee legal registration identifier,Identifier,0..1,,"Project-defined Payee legal registration identifier in the Payee context, represented as Identifier.",en16931,Payee,BT-61,$.invoice.payee.payeeLegalRegistrationIdentifier,,,PayeeLegalRegistrationIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:SpecifiedLegalOrganization/ram:ID,,,false,
84,0000.0003.0004.0005.0004.0001@schemeID,3,3,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Payee context, represented as Identifier.",en16931,Payee,BT-61-1,$.invoice.payee.payeeLegalRegistrationIdentifierSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:SpecifiedLegalOrganization/ram:ID/@schemeID,,,false,
85,0000.0003.0002.0004,2,2,C,,Seller tax representative party,,0..1,,"Project-defined Seller tax representative party in the Seller tax representative party context, represented as structured information.",en16931,Seller tax representative party,BG-11,$.invoice.sellerTaxRepresentativeParty,,,SellerTaxRepresentativeParty,ram:SellerTaxRepresentativeTradeParty,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty,,,false,
86,0000.0003.0002.0004.0001,3,3,A,,Seller tax representative name,Text,1..1,,"Project-defined Seller tax representative name in the Seller tax representative party context, represented as Text.",en16931,Seller tax representative party,BT-62,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativeName,,,SellerTaxRepresentativeName,ram:Name,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:Name,,,true,
87,0000.0003.0002.0004.0003.0001,3,3,A,,Seller tax representative VAT identifier,Identifier,1..1,,"Project-defined Seller tax representative VAT identifier in the Seller tax representative party context, represented as Identifier.",en16931,Seller tax representative party,BT-63,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativeVatIdentifier,,,SellerTaxRepresentativeVatIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='VA'],,,true,
88,0000.0003.0002.0004.0002,3,3,C,,Seller tax representative postal address,,1..1,,"Project-defined Seller tax representative postal address in the Seller tax representative postal address context, represented as structured information.",en16931,Seller tax representative postal address,BG-12,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress,,,SellerTaxRepresentativePostalAddress,ram:PostalTradeAddress,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress,,,true,
89,0000.0003.0002.0004.0002.0002,4,4,A,,Tax representative address line 1,Text,0..1,,"Project-defined Tax representative address line 1 in the Seller tax representative postal address context, represented as Text.",en16931,Seller tax representative postal address,BT-64,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine1,,,TaxRepresentativeAddressLine1,ram:LineOne,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineOne,,,false,
90,0000.0003.0002.0004.0002.0003,4,4,A,,Tax representative address line 2,Text,0..1,,"Project-defined Tax representative address line 2 in the Seller tax representative postal address context, represented as Text.",en16931,Seller tax representative postal address,BT-65,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine2,,,TaxRepresentativeAddressLine2,ram:LineTwo,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineTwo,,,false,
91,0000.0003.0002.0004.0002.0004,4,4,A,,Tax representative address line 3,Text,0..1,,"Project-defined Tax representative address line 3 in the Seller tax representative postal address context, represented as Text.",en16931,Seller tax representative postal address,BT-164,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine3,,,TaxRepresentativeAddressLine3,ram:LineThree,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineThree,,,false,
92,0000.0003.0002.0004.0002.0005,4,4,A,,Tax representative city,Text,0..1,,"Project-defined Tax representative city in the Seller tax representative postal address context, represented as Text.",en16931,Seller tax representative postal address,BT-66,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCity,,,TaxRepresentativeCity,ram:CityName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CityName,,,false,
93,0000.0003.0002.0004.0002.0001,4,4,A,,Tax representative post code,Text,0..1,,"Project-defined Tax representative post code in the Seller tax representative postal address context, represented as Text.",en16931,Seller tax representative postal address,BT-67,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativePostCode,,,TaxRepresentativePostCode,ram:PostcodeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,,false,
94,0000.0003.0002.0004.0002.0007,4,4,A,,Tax representative country subdivision,Text,0..1,,"Project-defined Tax representative country subdivision in the Seller tax representative postal address context, represented as Text.",en16931,Seller tax representative postal address,BT-68,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCountrySubdivision,,,TaxRepresentativeCountrySubdivision,ram:CountrySubDivisionName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,,false,
95,0000.0003.0002.0004.0002.0006,4,4,A,,Tax representative country code,Code,1..1,,"Project-defined Tax representative country code in the Seller tax representative postal address context, represented as Code.",en16931,Seller tax representative postal address,BT-69,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCountryCode,,,TaxRepresentativeCountryCode,ram:CountryID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CountryID,,,true,
96,0000.0003.0003.0001,2,2,C,,Delivery information,,0..1,,"Project-defined Delivery information in the Delivery information context, represented as structured information.",en16931,Delivery information,BG-13,$.invoice.deliveryInformation,,,DeliveryInformation,ram:ShipToTradeParty,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty,,,false,
97,0000.0003.0003.0001.0003,3,3,A,,Deliver to party name,Text,0..1,,"Project-defined Deliver to party name in the Delivery information context, represented as Text.",en16931,Delivery information,BT-70,$.invoice.deliveryInformation.deliverToPartyName,,,DeliverToPartyName,ram:Name,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:Name,,,false,
98,0000.0003.0003.0001.0002,3,3,A,,Deliver to location identifier,Identifier,0..1,,"Project-defined Deliver to location identifier in the Delivery information context, represented as Identifier.",en16931,Delivery information,BT-71,$.invoice.deliveryInformation[deliverToLocationIdentifierSchemeIdentifier].deliverToLocationIdentifier,,,DeliverToLocationIdentifier,ram:GlobalID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:GlobalID,,CII_IDENTIFIER_VARIANT_GLOBAL,false,
98,0000.0003.0003.0001.0001,3,3,A,,Deliver to location identifier,Identifier,0..1,,"Project-defined Deliver to location identifier in the Delivery information context, represented as Identifier.",en16931,Delivery information,BT-71,$.invoice.deliveryInformation[not(deliverToLocationIdentifierSchemeIdentifier)].deliverToLocationIdentifier,,,DeliverToLocationIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:ID,,CII_IDENTIFIER_VARIANT_LOCAL,false,
99,0000.0003.0003.0001.0002@schemeID,3,3,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Delivery information context, represented as Identifier.",en16931,Delivery information,BT-71-1,$.invoice.deliveryInformation[deliverToLocationIdentifierSchemeIdentifier].deliverToLocationIdentifierSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:GlobalID/@schemeID,,,false,
100,0000.0003.0003.0002.0001.0001,3,3,A,,Actual delivery date,Date,0..1,,"Project-defined Actual delivery date in the Delivery information context, represented as Date.",en16931,Delivery information,BT-72,$.invoice.deliveryInformation.actualDeliveryDate,,,ActualDeliveryDate,udt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ActualDeliverySupplyChainEvent/ram:OccurrenceDateTime/udt:DateTimeString,,CII_DATE_102,false,
101,0000.0003.0004.0008,2,2,C,,Invoicing period,,0..1,,"Project-defined Invoicing period in the Invoicing period context, represented as structured information.",en16931,Invoicing period,BG-14,$.invoice.invoicingPeriod,,,InvoicingPeriod,ram:BillingSpecifiedPeriod,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:BillingSpecifiedPeriod,,,false,
102,0000.0003.0004.0008.0001.0001,3,3,A,,Invoicing period start date,Date,0..1,,"Project-defined Invoicing period start date in the Invoicing period context, represented as Date.",en16931,Invoicing period,BT-73,$.invoice.invoicingPeriod.invoicingPeriodStartDate,,,InvoicingPeriodStartDate,udt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:BillingSpecifiedPeriod/ram:StartDateTime/udt:DateTimeString,,CII_DATE_102,false,
103,0000.0003.0004.0008.0002.0001,3,3,A,,Invoicing period end date,Date,0..1,,"Project-defined Invoicing period end date in the Invoicing period context, represented as Date.",en16931,Invoicing period,BT-74,$.invoice.invoicingPeriod.invoicingPeriodEndDate,,,InvoicingPeriodEndDate,udt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:BillingSpecifiedPeriod/ram:EndDateTime/udt:DateTimeString,,CII_DATE_102,false,
104,0000.0003.0003.0001.0004,3,3,C,,Deliver to address,,0..1,,"Project-defined Deliver to address in the Deliver to address context, represented as structured information.",en16931,Deliver to address,BG-15,$.invoice.deliveryInformation.deliverToAddress,,,DeliverToAddress,ram:PostalTradeAddress,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress,,,false,
105,0000.0003.0003.0001.0004.0002,4,4,A,,Deliver to address line 1,Text,0..1,,"Project-defined Deliver to address line 1 in the Deliver to address context, represented as Text.",en16931,Deliver to address,BT-75,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine1,,,DeliverToAddressLine1,ram:LineOne,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:LineOne,,,false,
106,0000.0003.0003.0001.0004.0003,4,4,A,,Deliver to address line 2,Text,0..1,,"Project-defined Deliver to address line 2 in the Deliver to address context, represented as Text.",en16931,Deliver to address,BT-76,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine2,,,DeliverToAddressLine2,ram:LineTwo,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:LineTwo,,,false,
107,0000.0003.0003.0001.0004.0004,4,4,A,,Deliver to address line 3,Text,0..1,,"Project-defined Deliver to address line 3 in the Deliver to address context, represented as Text.",en16931,Deliver to address,BT-165,$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine3,,,DeliverToAddressLine3,ram:LineThree,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:LineThree,,,false,
108,0000.0003.0003.0001.0004.0005,4,4,A,,Deliver to city,Text,0..1,,"Project-defined Deliver to city in the Deliver to address context, represented as Text.",en16931,Deliver to address,BT-77,$.invoice.deliveryInformation.deliverToAddress.deliverToCity,,,DeliverToCity,ram:CityName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:CityName,,,false,
109,0000.0003.0003.0001.0004.0001,4,4,A,,Deliver to post code,Text,0..1,,"Project-defined Deliver to post code in the Deliver to address context, represented as Text.",en16931,Deliver to address,BT-78,$.invoice.deliveryInformation.deliverToAddress.deliverToPostCode,,,DeliverToPostCode,ram:PostcodeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,,false,
110,0000.0003.0003.0001.0004.0007,4,4,A,,Deliver to country subdivision,Text,0..1,,"Project-defined Deliver to country subdivision in the Deliver to address context, represented as Text.",en16931,Deliver to address,BT-79,$.invoice.deliveryInformation.deliverToAddress.deliverToCountrySubdivision,,,DeliverToCountrySubdivision,ram:CountrySubDivisionName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,,false,
111,0000.0003.0003.0001.0004.0006,4,4,A,,Deliver to country code,Code,1..1,,"Project-defined Deliver to country code in the Deliver to address context, represented as Code.",en16931,Deliver to address,BT-80,$.invoice.deliveryInformation.deliverToAddress.deliverToCountryCode,,,DeliverToCountryCode,ram:CountryID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:PostalTradeAddress/ram:CountryID,,,true,
112,0000.0003.0004.0006,2,2,C,,Payment instructions,,0..*,,"Project-defined Payment instructions in the Payment instruction context, represented as structured information.",en16931,Payment instruction,BG-16,$.invoice.paymentInstructions,,,PaymentInstructions,ram:SpecifiedTradeSettlementPaymentMeans,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans,,,false,
113,0000.0003.0004.0006.0001,3,3,A,,Payment means type code,Code,1..1,,"Project-defined Payment means type code in the Payment instruction context, represented as Code.",en16931,Payment instruction,BT-81,$.invoice.paymentInstructions.paymentMeansTypeCode,,,PaymentMeansTypeCode,ram:TypeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:TypeCode,,,true,
114,0000.0003.0004.0006.0002,3,3,A,,Payment means text,Text,0..1,,"Project-defined Payment means text in the Payment instruction context, represented as Text.",en16931,Payment instruction,BT-82,$.invoice.paymentInstructions.paymentMeansText,,,PaymentMeansText,ram:Information,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:Information,,,false,
115,0000.0003.0004.0002,3,3,A,,Payment remittance information,Text,0..1,,"Project-defined Payment remittance information in the Payment instruction context, represented as Text.",en16931,Payment instruction,BT-83,$.invoice.paymentInstructions.paymentRemittanceInformation,,,PaymentRemittanceInformation,ram:PaymentReference,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PaymentReference,,,false,
116,0000.0003.0004.0006.0005,3,3,C,,Credit transfer,,0..*,,"Project-defined Credit transfer in the Credit transfer context, represented as structured information.",en16931,Credit transfer,BG-17,$.invoice.paymentInstructions.creditTransfer,,,CreditTransfer,ram:PayeePartyCreditorFinancialAccount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayeePartyCreditorFinancialAccount,,,false,
117,0000.0003.0004.0006.0005.0001,4,4,A,,Payment account identifier,Identifier,0..1,,"Project-defined Payment account identifier in the Credit transfer context, represented as Identifier.",en16931,Credit transfer,BT-84,$.invoice.paymentInstructions.creditTransfer.paymentAccountIdentifier,,,PaymentAccountIdentifier,ram:IBANID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayeePartyCreditorFinancialAccount/ram:IBANID,,CII_ACCOUNT_ID_IF_IBAN,false,
117,0000.0003.0004.0006.0005.0003,4,4,A,,Payment account identifier,Identifier,0..1,,"Project-defined Payment account identifier in the Credit transfer context, represented as Identifier.",en16931,Credit transfer,BT-84,$.invoice.paymentInstructions.creditTransfer.paymentAccountIdentifier,,,PaymentAccountIdentifier,ram:ProprietaryID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayeePartyCreditorFinancialAccount/ram:ProprietaryID,,CII_ACCOUNT_ID_IF_NOT_IBAN,false,
118,0000.0003.0004.0006.0005.0002,4,4,A,,Payment account name,Text,0..1,,"Project-defined Payment account name in the Credit transfer context, represented as Text.",en16931,Credit transfer,BT-85,$.invoice.paymentInstructions.creditTransfer.paymentAccountName,,,PaymentAccountName,ram:AccountName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayeePartyCreditorFinancialAccount/ram:AccountName,,,false,
119,0000.0003.0004.0006.0007.0001,4,4,A,,Payment service provider identifier,Identifier,0..1,,"Project-defined Payment service provider identifier in the Credit transfer context, represented as Identifier.",en16931,Credit transfer,BT-86,$.invoice.paymentInstructions.creditTransfer.paymentServiceProviderIdentifier,,,PaymentServiceProviderIdentifier,ram:BICID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayeeSpecifiedCreditorFinancialInstitution/ram:BICID,,,false,
120,0000.0003.0004.0006.0003,3,3,C,,Payment card information,,0..1,,"Project-defined Payment card information in the Payment card information context, represented as structured information.",en16931,Payment card information,BG-18,$.invoice.paymentInstructions.paymentCardInformation,,,PaymentCardInformation,ram:ApplicableTradeSettlementFinancialCard,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard,,,false,
121,0000.0003.0004.0006.0003.0001,4,4,A,,Payment card primary account number,Identifier,1..1,,"Project-defined Payment card primary account number in the Payment card information context, represented as Identifier.",en16931,Payment card information,BT-87,$.invoice.paymentInstructions.paymentCardInformation.paymentCardPrimaryAccountNumber,,,PaymentCardPrimaryAccountNumber,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard/ram:ID,,,true,
122,0000.0003.0004.0006.0003.0002,4,4,A,,Payment card holder name,Text,0..1,,"Project-defined Payment card holder name in the Payment card information context, represented as Text.",en16931,Payment card information,BT-88,$.invoice.paymentInstructions.paymentCardInformation.paymentCardHolderName,,,PaymentCardHolderName,ram:CardholderName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard/ram:CardholderName,,,false,
123,0000.0003.0004,3,3,C,,Direct debit,,0..1,,"Project-defined Direct debit in the Direct debit context, represented as structured information.",en16931,Direct debit,BG-19,$.invoice.paymentInstructions.directDebit,,,DirectDebit,ram:ApplicableHeaderTradeSettlement,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement,,,false,
124,0000.0003.0004.0010.0003,4,4,A,,Mandate reference identifier,Identifier,0..1,,"Project-defined Mandate reference identifier in the Direct debit context, represented as Identifier.",en16931,Direct debit,BT-89,$.invoice.paymentInstructions.directDebit.mandateReferenceIdentifier,,,MandateReferenceIdentifier,ram:DirectDebitMandateID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradePaymentTerms/ram:DirectDebitMandateID,,,false,
125,0000.0003.0004.0001,4,4,A,,Bank assigned creditor identifier,Identifier,0..1,,"Project-defined Bank assigned creditor identifier in the Direct debit context, represented as Identifier.",en16931,Direct debit,BT-90,$.invoice.paymentInstructions.directDebit.bankAssignedCreditorIdentifier,,,BankAssignedCreditorIdentifier,ram:CreditorReferenceID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:CreditorReferenceID,,,false,
126,0000.0003.0004.0006.0004.0001,4,4,A,,Debited account identifier,Identifier,0..1,,"Project-defined Debited account identifier in the Direct debit context, represented as Identifier.",en16931,Direct debit,BT-91,$.invoice.paymentInstructions.directDebit.debitedAccountIdentifier,,,DebitedAccountIdentifier,ram:IBANID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayerPartyDebtorFinancialAccount/ram:IBANID,,,false,
127,0000.0003.0004.0009,2,2,C,,Document level allowances,,0..*,,"Project-defined Document level allowances in the Document level allowance context, represented as structured information.",en16931,Document level allowance,BG-20,$.invoice.documentLevelAllowances,,,DocumentLevelAllowances,ram:SpecifiedTradeAllowanceCharge,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false'],,,false,
128,0000.0003.0004.0009.0004,3,3,A,,Document level allowance amount,Amount,1..1,,"Project-defined Document level allowance amount in the Document level allowance context, represented as Amount.",en16931,Document level allowance,BT-92,$.invoice.documentLevelAllowances.documentLevelAllowanceAmount,,,DocumentLevelAllowanceAmount,ram:ActualAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:ActualAmount,,,true,
129,0000.0003.0004.0009.0003,3,3,A,,Document level allowance base amount,Amount,0..1,,"Project-defined Document level allowance base amount in the Document level allowance context, represented as Amount.",en16931,Document level allowance,BT-93,$.invoice.documentLevelAllowances.documentLevelAllowanceBaseAmount,,,DocumentLevelAllowanceBaseAmount,ram:BasisAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:BasisAmount,,,false,
130,0000.0003.0004.0009.0002,3,3,A,,Document level allowance percentage,Percentage,0..1,,"Project-defined Document level allowance percentage in the Document level allowance context, represented as Percentage.",en16931,Document level allowance,BT-94,$.invoice.documentLevelAllowances.documentLevelAllowancePercentage,,,DocumentLevelAllowancePercentage,ram:CalculationPercent,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:CalculationPercent,,,false,
131,0000.0003.0004.0009.0007.0002,3,3,A,,Document level allowance VAT category code,Code,1..1,,"Project-defined Document level allowance VAT category code in the Document level allowance context, represented as Code.",en16931,Document level allowance,BT-95,$.invoice.documentLevelAllowances.documentLevelAllowanceVatCategoryCode,,,DocumentLevelAllowanceVatCategoryCode,ram:CategoryCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:CategoryTradeTax[ram:TypeCode='VAT']/ram:CategoryCode,,,true,
