sequence,level,type,name,datatype,multiplicity,column,semantic_path,occurrence_mode,group_key,row_role,max_occurs,default_value,transformation,required,note
11,4,A,accountingPeriod,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M02'].adc_AccountingPeriod,,,,,M02,,true,Fiscal period M02 corresponds to 2021-05
22,4,A,endingBalance,Decimal,0..1,C9,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M02'].adc_EndingBalance,,,,,,,true,Consolidated ISO Table 58 fields 23-26; source ending_202105
23,4,A,currencyCode,String,0..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M02'].adc_CurrencyCode,,,,,JPY,,true,Synthetic scenario currency
10,4,A,fiscalYear,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M03'].adc_FiscalYear,,,,,2021,,true,Fiscal year identified by its 2021 start year; 2021-06
11,4,A,accountingPeriod,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M03'].adc_AccountingPeriod,,,,,M03,,true,Fiscal period M03 corresponds to 2021-06
22,4,A,endingBalance,Decimal,0..1,C10,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M03'].adc_EndingBalance,,,,,,,true,Consolidated ISO Table 58 fields 23-26; source ending_202106
23,4,A,currencyCode,String,0..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M03'].adc_CurrencyCode,,,,,JPY,,true,Synthetic scenario currency
10,4,A,fiscalYear,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M04'].adc_FiscalYear,,,,,2021,,true,Fiscal year identified by its 2021 start year; 2021-07
11,4,A,accountingPeriod,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M04'].adc_AccountingPeriod,,,,,M04,,true,Fiscal period M04 corresponds to 2021-07
22,4,A,endingBalance,Decimal,0..1,C11,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M04'].adc_EndingBalance,,,,,,,true,Consolidated ISO Table 58 fields 23-26; source ending_202107
23,4,A,currencyCode,String,0..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M04'].adc_CurrencyCode,,,,,JPY,,true,Synthetic scenario currency
10,4,A,fiscalYear,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M05'].adc_FiscalYear,,,,,2021,,true,Fiscal year identified by its 2021 start year; 2021-08
11,4,A,accountingPeriod,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M05'].adc_AccountingPeriod,,,,,M05,,true,Fiscal period M05 corresponds to 2021-08
22,4,A,endingBalance,Decimal,0..1,C12,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M05'].adc_EndingBalance,,,,,,,true,Consolidated ISO Table 58 fields 23-26; source ending_202108
23,4,A,currencyCode,String,0..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M05'].adc_CurrencyCode,,,,,JPY,,true,Synthetic scenario currency
10,4,A,fiscalYear,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M06'].adc_FiscalYear,,,,,2021,,true,Fiscal year identified by its 2021 start year; 2021-09
11,4,A,accountingPeriod,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M06'].adc_AccountingPeriod,,,,,M06,,true,Fiscal period M06 corresponds to 2021-09
22,4,A,endingBalance,Decimal,0..1,C13,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M06'].adc_EndingBalance,,,,,,,true,Consolidated ISO Table 58 fields 23-26; source ending_202109
23,4,A,currencyCode,String,0..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M06'].adc_CurrencyCode,,,,,JPY,,true,Synthetic scenario currency
10,4,A,fiscalYear,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M07'].adc_FiscalYear,,,,,2021,,true,Fiscal year identified by its 2021 start year; 2021-10
11,4,A,accountingPeriod,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M07'].adc_AccountingPeriod,,,,,M07,,true,Fiscal period M07 corresponds to 2021-10
22,4,A,endingBalance,Decimal,0..1,C14,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M07'].adc_EndingBalance,,,,,,,true,Consolidated ISO Table 58 fields 23-26; source ending_202110
23,4,A,currencyCode,String,0..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M07'].adc_CurrencyCode,,,,,JPY,,true,Synthetic scenario currency
10,4,A,fiscalYear,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M08'].adc_FiscalYear,,,,,2021,,true,Fiscal year identified by its 2021 start year; 2021-11
11,4,A,accountingPeriod,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M08'].adc_AccountingPeriod,,,,,M08,,true,Fiscal period M08 corresponds to 2021-11
22,4,A,endingBalance,Decimal,0..1,C15,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M08'].adc_EndingBalance,,,,,,,true,Consolidated ISO Table 58 fields 23-26; source ending_202111
23,4,A,currencyCode,String,0..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M08'].adc_CurrencyCode,,,,,JPY,,true,Synthetic scenario currency
10,4,A,fiscalYear,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M09'].adc_FiscalYear,,,,,2021,,true,Fiscal year identified by its 2021 start year; 2021-12
11,4,A,accountingPeriod,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M09'].adc_AccountingPeriod,,,,,M09,,true,Fiscal period M09 corresponds to 2021-12
22,4,A,endingBalance,Decimal,0..1,C16,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M09'].adc_EndingBalance,,,,,,,true,Consolidated ISO Table 58 fields 23-26; source ending_202112
23,4,A,currencyCode,String,0..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M09'].adc_CurrencyCode,,,,,JPY,,true,Synthetic scenario currency
10,4,A,fiscalYear,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M10'].adc_FiscalYear,,,,,2021,,true,Fiscal year identified by its 2021 start year; 2022-01
11,4,A,accountingPeriod,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M10'].adc_AccountingPeriod,,,,,M10,,true,Fiscal period M10 corresponds to 2022-01
22,4,A,endingBalance,Decimal,0..1,C17,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M10'].adc_EndingBalance,,,,,,,true,Consolidated ISO Table 58 fields 23-26; source ending_202201
23,4,A,currencyCode,String,0..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M10'].adc_CurrencyCode,,,,,JPY,,true,Synthetic scenario currency
10,4,A,fiscalYear,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M11'].adc_FiscalYear,,,,,2021,,true,Fiscal year identified by its 2021 start year; 2022-02
11,4,A,accountingPeriod,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M11'].adc_AccountingPeriod,,,,,M11,,true,Fiscal period M11 corresponds to 2022-02
22,4,A,endingBalance,Decimal,0..1,C18,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M11'].adc_EndingBalance,,,,,,,true,Consolidated ISO Table 58 fields 23-26; source ending_202202
23,4,A,currencyCode,String,0..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M11'].adc_CurrencyCode,,,,,JPY,,true,Synthetic scenario currency
10,4,A,fiscalYear,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M12'].adc_FiscalYear,,,,,2021,,true,Fiscal year identified by its 2021 start year; 2022-03
11,4,A,accountingPeriod,String,1..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M12'].adc_AccountingPeriod,,,,,M12,,true,Fiscal period M12 corresponds to 2022-03
22,4,A,endingBalance,Decimal,0..1,C19,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M12'].adc_EndingBalance,,,,,,,true,Consolidated ISO Table 58 fields 23-26; source ending_202203
23,4,A,currencyCode,String,0..1,,$.adc_GLAccountsPeriodBalances.adc_AccountBalance.adc_PeriodBalance[adc_AccountingPeriod='M12'].adc_CurrencyCode,,,,,JPY,,true,Synthetic scenario currency
