relative_path,sha256,bytes,dataset_id,period,source_authority,license,generator,validation_status
structured/2021-04.csv,DD117150D2C88CCD35086F0D167A6EF5BE06D6CD3A13CCE2B9B6AD124D88068A,182018,pca-synthetic-fy2021-v1,2021-04,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
structured/2021-04.json,82DCF81FC1311B32F22B48530AB201D74E2283B05AAD40CA4AEBE4449C9C5337,1631,pca-synthetic-fy2021-v1,2021-04,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS_REVALIDATED_SIBLING_TAXONOMY_LAYOUT_20260911
structured/2021-05.csv,3F36981B2C647B0596E9E9A02C84ED4515C2A1A0E2B000B04C953FE17745AC9F,176549,pca-synthetic-fy2021-v1,2021-05,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
structured/2021-05.json,69CA152A46850F64F342666330F56318022FEA8F0AF37ABE074F69ED7BDDBE6B,1631,pca-synthetic-fy2021-v1,2021-05,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS_REVALIDATED_SIBLING_TAXONOMY_LAYOUT_20260911
structured/2021-06.csv,15BD2266E3159025EB6849AB4901D2EF2AC3256B934F7157350611A943F8F381,165825,pca-synthetic-fy2021-v1,2021-06,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
structured/2021-06.json,B61BD892FC1A4068B151C7A3BEDB870DD71C352DFE341FFDE3B9471065EEDC73,1631,pca-synthetic-fy2021-v1,2021-06,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS_REVALIDATED_SIBLING_TAXONOMY_LAYOUT_20260911
structured/2021-07.csv,CFED4E150CA859148B03422AC5F022CB1CF5D19EC91822F9EEDED6F0F906C10A,172452,pca-synthetic-fy2021-v1,2021-07,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
structured/2021-07.json,EA7A04EADA61151DF3FF9C3680EBD1E0A2B9674634482AE5846F66ADE40F3563,1631,pca-synthetic-fy2021-v1,2021-07,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS_REVALIDATED_SIBLING_TAXONOMY_LAYOUT_20260911
structured/2021-08.csv,CE6763D05AD3E12EA9920EDAF19BA88F699E08F36EA991CA5B9C01CC965AA74E,171131,pca-synthetic-fy2021-v1,2021-08,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
structured/2021-08.json,EEA79D5FEEE41804C4D8239139B3978AA81DA7591D5943F9399F05C531F060B6,1631,pca-synthetic-fy2021-v1,2021-08,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS_REVALIDATED_SIBLING_TAXONOMY_LAYOUT_20260911
structured/2021-09.csv,8FEF55337A24F776BDD7BC30CAFE9B96DCBE6D8A33178195757299ADCD64EDE8,169727,pca-synthetic-fy2021-v1,2021-09,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
structured/2021-09.json,400EFCF42513F7362E0404F9B741B2021C9B40B6EEF3D9869CE1865596069CD9,1631,pca-synthetic-fy2021-v1,2021-09,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS_REVALIDATED_SIBLING_TAXONOMY_LAYOUT_20260911
structured/2021-10.csv,7EC7F278B5E6D2AB01E256BBD2489039682E067CAF7E205F694D2ACDD31F8D06,173011,pca-synthetic-fy2021-v1,2021-10,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
structured/2021-10.json,D0D940E1BE5DE9166A3E3DAB527B0BD726A8BE41EDAA7D1C800A090A7388DB8A,1631,pca-synthetic-fy2021-v1,2021-10,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS_REVALIDATED_SIBLING_TAXONOMY_LAYOUT_20260911
structured/2021-11.csv,B0A17531584C7E707497D62450696EF72FB28562C9E01045D969BA186EC6F650,171882,pca-synthetic-fy2021-v1,2021-11,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
structured/2021-11.json,D2B798C0C835EB9B7DCA3C295D2225CB4E25E1B31ECB683CC5767D561EB62EF9,1631,pca-synthetic-fy2021-v1,2021-11,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS_REVALIDATED_SIBLING_TAXONOMY_LAYOUT_20260911
structured/2021-12.csv,DD0782A2E1A14E0A25AD8C9EAE871BDFF96D96682C2826C6B6CCE05AD3A9802A,182295,pca-synthetic-fy2021-v1,2021-12,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
structured/2021-12.json,0E9CE91EF5EB9A1ED40E0E0911652E4565F3C05D90C7E1879F50CC42F862C54D,1631,pca-synthetic-fy2021-v1,2021-12,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS_REVALIDATED_SIBLING_TAXONOMY_LAYOUT_20260911
structured/2022-01.csv,2BB984A06A824884656230BF5DDC3D270313135E4E1B4E83230C464EFBFAC0AF,172422,pca-synthetic-fy2021-v1,2022-01,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
structured/2022-01.json,0D07C56DF64975DCE5BD178430A9AE94D799789618AB911DA38F2D7A7EB10E96,1631,pca-synthetic-fy2021-v1,2022-01,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS_REVALIDATED_SIBLING_TAXONOMY_LAYOUT_20260911
structured/2022-02.csv,9D4ED64A78E9E7D665182AC1EF553194F9EDE7445DEB920E8C4920ED5F2ED404,173695,pca-synthetic-fy2021-v1,2022-02,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
structured/2022-02.json,7A8B052A2C557F79C961FC739B14DE843D538F80FEFEF3FA8D82DAC46D4C93B4,1631,pca-synthetic-fy2021-v1,2022-02,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS_REVALIDATED_SIBLING_TAXONOMY_LAYOUT_20260911
structured/2022-03.csv,25ACF81BEF99C739533C2D5201C8516FF1BA7E5D43B8F0991F75EFAFA467A6B0,165411,pca-synthetic-fy2021-v1,2022-03,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
structured/2022-03.json,881E14478838F7F0C6EE004936D32AC8014957F62459147F5D71976C6CC5CE52,1631,pca-synthetic-fy2021-v1,2022-03,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS_REVALIDATED_SIBLING_TAXONOMY_LAYOUT_20260911
