dBusinessTransactions,dEntityParty,dPartyAddress,dTransactionHeader,dHeaderIdentifierReference,dRegisteredIdentifier,dHeaderTax,dHeaderAmountStructure,dTransactionDetail,dDetailMeasurable,dDetailTax,dDetailAmountStructure,dDetailAdjustment,dHeaderAdjustment,adjustmentType,taxType,partyName,entityAddressDescription,entityAddressPurpose,entityAddressStreet,entityAddressCity,entityAddressCountry,entityAddressZipOrPostalCode,entityPartyType,headerInvoiceType,headerDocumentNumber,headerMaturityDateOrDateDue,headerPaymentTerms,headerIdentifierPurpose,headerIdentifierType,headerIdentifierRegisteredId,headerAmountOfTaxes,headerBasisForTaxation,headerTaxPercentageRate,headerTaxCategory,headerAmount,headerAmountType,lineNumber,secondaryMeasurableCode,measurableQuantity,measurableUnitOfMeasure,measurableStartTime,measurableEndTime,taxPercentageRate,taxCategory,detailRitchTextDetailDescription,amount,amountType,detailAdjustmentAmount,detailAdjustmentBaseAmount,detailAdjustmentReason,detailAdjustmentReasonCode,businessProcessType,headerAdjustmentAmount,headerAdjustmentBaseAmount,headerAdjustmentReason,headerAdjustmentReasonCode,headerAdjustmentTaxCategory
1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,gen:vdAmountTypeAllowanceTotal,,,,,,,,,,,,,,,,,,,,,
1,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,gen:vdAmountTypeChargeTotal,,,,,,,,,,,,,,,,,,,,,
1,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,gen:vdAmountTypeTaxExclusiveTotal,,,,,,,,,,,,,,,,,,,,,
1,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,gen:vdAmountTypeTaxTotal,,,,,,,,,,,,,,,,,,,,,
1,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,gen:vdAmountTypeInvoiceTotal,,,,,,,,,,,,,,,,,,,,,
1,,,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,gen:vdAmountTypePaidAmount,,,,,,,,,,,,,,,,,,,,,
1,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,gen:vdAmountTypeRoundingAmount,,,,,,,,,,,,,,,,,,,,,
1,,,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,gen:vdAmountTypeAmountDue,,,,,,,,,,,,,,,,,,,,,
1,,,1,,,1,,,,,,,,,gen:vdTaxTypeVAT,,,,,,,,,,,,,,,,1000,10000,0.1,S,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,gen:vdIdentifierPurposeLegalRegistration,gen:vdIdentifierTypeVendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,SELLER-REG,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,gen:vdIdentifierPurposeVAT,gen:vdIdentifierTypeVendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,T1234567890123,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,gen:vdIdentifierPurposeLegalRegistration,gen:vdIdentifierTypeCustomer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,BUYER-REG,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,Seller Co. Ltd.,,,,,,,gen:vdPartyTypeSeller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,1-1-1 Chiyoda,gen:vdAddressPurposePostal,1-1-1 Chiyoda,Tokyo,JP,100-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,Buyer Co. Ltd.,,,,,,,gen:vdPartyTypeBuyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,,,,,,,,,,,,,,,2-2-2 Kita,gen:vdAddressPurposePostal,2-2-2 Kita,Osaka,JP,530-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
