sequence,level,type,name,datatype,multiplicity,column,semantic_path,occurrence_mode,group_key,row_role,max_occurs,default_value,transformation,required,note
378,6,A,subaccountDescription,String,0..1,C7,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='department'で部門occurrenceを識別する。 物理列=Column7、ordinal=7。
363,5,A,accountNumber,String,0..1,C8,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountNumber,,,,,,,,最新版Accounting Entries HMD（398行）に解決済み。条件predicateはBinding情報でありHMD照合時に除去する。 物理列=Column8、ordinal=8。
364,5,A,accountDescription,String,0..1,C9,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountDescription,,,,,,,,最新版Accounting Entries HMD（398行）に解決済み。条件predicateはBinding情報でありHMD照合時に除去する。 物理列=Column9、ordinal=9。
377,5,C,subaccount,,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'],single,,group,,,,,最新版HMDのSubaccount枝に解決済み。Type='auxiliary-account'で補助科目occurrenceを識別する。
380,6,A,type,Token,0..1,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_Type,,,,,auxiliary-account,,true,補助科目を識別するプロファイル値auxiliary-accountをdefault_valueから生成する。predicateはBinding情報でありHMD照合時に除去する。
379,6,A,subaccountId,String,0..1,C10,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_SubaccountID,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='auxiliary-account'で補助科目occurrenceを識別する。 物理列=Column10、ordinal=10。
378,6,A,subaccountDescription,String,0..1,C11,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_SubaccountDescription,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='auxiliary-account'で補助科目occurrenceを識別する。 物理列=Column11、ordinal=11。
331,4,C,detailTax,,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax,single,,group,,,,,最新版HMDのDetail Tax枝に解決済み。本Flatプロファイルでは各D/C Detailにつき税occurrenceを最大1件として扱う。
338,5,A,taxCategory,String,0..1,C12,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_TaxCategory,,,,,,,,税区分コードだけをTax Categoryへ結合する。税区分名はTax Descriptionへ結合せず、税区分マスターによる後段enrichmentとする。 物理列=Column12、ordinal=12。
335,5,A,amountOfTaxes,Monetary,0..1,C15,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_AmountofTaxes,,,,,,,,PCA借方消費税額。借方税区分と同じDetailTax occurrenceへ所属させる。 物理列=Column15、ordinal=15。
384,4,A,monetaryAmount,Monetary,0..1,C14,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_MonetaryAmount,,,,,,,,PCA借方金額。借方側の物理列に基づき、生成する借方EntryDetailへ所属させる。 物理列=Column14、ordinal=14。
387,4,A,debitCreditIndicator,Token,0..1,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DebitCreditIndicator,,,,,C,,true,Flat CSVに対応列がないため定数Cを設定する。Detail selectorと同じ値。
362,4,C,detailAccountIdentifier,,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier,single,,group,,,,,最新版Accounting Entries HMD（398行）に解決済み。条件predicateはBinding情報でありHMD照合時に除去する。
377,5,C,subaccount,,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],single,,group,,,,,最新版HMDのSubaccount枝に解決済み。Type='department'で部門occurrenceを識別する。
380,6,A,type,Token,0..1,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,,,,,department,,true,部門を識別するプロファイル値departmentをdefault_valueから生成する。predicateはBinding情報でありHMD照合時に除去する。
379,6,A,subaccountId,String,0..1,C17,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='department'で部門occurrenceを識別する。 物理列=Column17、ordinal=17。
378,6,A,subaccountDescription,String,0..1,C18,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='department'で部門occurrenceを識別する。 物理列=Column18、ordinal=18。
363,5,A,accountNumber,String,0..1,C19,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_AccountNumber,,,,,,,,最新版Accounting Entries HMD（398行）に解決済み。条件predicateはBinding情報でありHMD照合時に除去する。 物理列=Column19、ordinal=19。
364,5,A,accountDescription,String,0..1,C20,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_AccountDescription,,,,,,,,最新版Accounting Entries HMD（398行）に解決済み。条件predicateはBinding情報でありHMD照合時に除去する。 物理列=Column20、ordinal=20。
377,5,C,subaccount,,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'],single,,group,,,,,最新版HMDのSubaccount枝に解決済み。Type='auxiliary-account'で補助科目occurrenceを識別する。
380,6,A,type,Token,0..1,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_Type,,,,,auxiliary-account,,true,補助科目を識別するプロファイル値auxiliary-accountをdefault_valueから生成する。predicateはBinding情報でありHMD照合時に除去する。
379,6,A,subaccountId,String,0..1,C21,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_SubaccountID,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='auxiliary-account'で補助科目occurrenceを識別する。 物理列=Column21、ordinal=21。
378,6,A,subaccountDescription,String,0..1,C22,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='auxiliary-account'].cor_SubaccountDescription,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='auxiliary-account'で補助科目occurrenceを識別する。 物理列=Column22、ordinal=22。
331,4,C,detailTax,,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax,single,,group,,,,,最新版HMDのDetail Tax枝に解決済み。本Flatプロファイルでは各D/C Detailにつき税occurrenceを最大1件として扱う。
338,5,A,taxCategory,String,0..1,C23,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_TaxCategory,,,,,,,,税区分コードだけをTax Categoryへ結合する。税区分名はTax Descriptionへ結合せず、税区分マスターによる後段enrichmentとする。 物理列=Column23、ordinal=23。
335,5,A,amountOfTaxes,Monetary,0..1,C26,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_AmountofTaxes,,,,,,,,PCA貸方消費税額。貸方税区分と同じDetailTax occurrenceへ所属させる。 物理列=Column26、ordinal=26。
384,4,A,monetaryAmount,Monetary,0..1,C25,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_MonetaryAmount,,,,,,,,PCA貸方金額。貸方側の物理列に基づき、生成する貸方EntryDetailへ所属させる。 物理列=Column25、ordinal=25。
383,4,A,detailDescription,String,0..1,C27,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,,,,,,,,PCA共通摘要Column27は共通テンプレートに一度だけ定義し、forwardでは生成されたD/C EntryDetailへ継承する。reverseで複数の非空値がある場合は後処理値で上書きし、エラーにせず終了時ログへ対象columnと件数だけを集計する。 物理列=Column27、ordinal=27。
