伝票日付,伝票番号,仕訳区分,管理仕訳区分,借方税計算モード,借方部門コード,借方部門名,借方科目コード,借方科目名,借方補助コード,借方補助名,借方税区分コード,借方税区分名,借方金額,借方消費税額,貸方税計算モード,貸方部門コード,貸方部門名,貸方科目コード,貸方科目名,貸方補助コード,貸方補助名,貸方税区分コード,貸方税区分名,貸方金額,貸方消費税額,摘要文,数字１,数字２,入力プログラム区分,配賦元税計算,配賦元集計方法,配賦元集計開始日付,配賦元集計終了日付,配賦元管理仕訳区分,配賦元部門コード,配賦元部門名,配賦元科目コード,配賦元科目名,配賦元補助コード,配賦元補助名,配賦元金額,数字３,数字４,数字５,金額１,金額２,金額３,金額４,金額５,文字列１,文字列２,文字列３,文字列４,文字列５,入力日付時間,借方取引先コード,借方取引先名,借方セグメント１コード,借方セグメント１名,借方セグメント２コード,借方セグメント２名,借方セグメント３コード,借方セグメント３名,貸方取引先コード,貸方取引先名,貸方セグメント１コード,貸方セグメント１名,貸方セグメント２コード,貸方セグメント２名,貸方セグメント３コード,貸方セグメント３名,配賦選択,配賦元取引先コード,配賦元取引先名,配賦元セグメント１コード,配賦元セグメント１名,配賦元セグメント２コード,配賦元セグメント２名,配賦元セグメント３コード,配賦元セグメント３名
20210405,139,21,0,1,040,大阪支店,724,福利厚生費,,,Q5,仕入10%,55630,5057,1,000,共通部門,322,未払金,,,00,対象外,55630,0,制服代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210405,254,21,0,1,000,共通部門,131,普通預金,50,MNO銀行 北九州,00,対象外,2959035,0,1,000,共通部門,152,売掛金,22,株式会社豊原産業,00,対象外,2959035,0,4月5日伝票No190株式会社豊原産業,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210405,254,21,0,1,050,九州営業所,741,支払手数料,,,Q5,仕入10%,630,57,1,000,共通部門,152,売掛金,22,株式会社豊原産業,00,対象外,630,0,4月5日伝票No190株式会社豊原産業,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210405,255,21,0,1,000,共通部門,131,普通預金,20,ABC銀行 本店,00,対象外,1508295,0,1,000,共通部門,152,売掛金,26,若松販売株式会社,00,対象外,1508295,0,4月5日伝票No191若松販売株式会社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210405,255,21,0,1,020,東京支店,741,支払手数料,,,Q5,仕入10%,472,42,1,000,共通部門,152,売掛金,26,若松販売株式会社,00,対象外,472,0,4月5日伝票No191若松販売株式会社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210405,256,21,0,1,000,共通部門,131,普通預金,30,GHI銀行 名古屋,00,対象外,2171384,0,1,000,共通部門,152,売掛金,27,晴海物産株式会社,00,対象外,2171384,0,4月5日伝票No192晴海物産株式会社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210405,256,21,0,1,030,名古屋支店,741,支払手数料,,,Q5,仕入10%,735,66,1,000,共通部門,152,売掛金,27,晴海物産株式会社,00,対象外,735,0,4月5日伝票No192晴海物産株式会社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210406,10,21,0,1,010,札幌営業所,740,車両費,,,Q5,仕入10%,4224,384,1,000,共通部門,111,現金,,,00,対象外,4224,0,ガソリン代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210406,42,21,0,1,020,東京支店,733,交際接待費,,,Q5,仕入10%,4650,422,1,000,共通部門,111,現金,,,00,対象外,4650,0,昼食代 架空店舗036,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210406,84,21,0,1,030,名古屋支店,727,通信費,,,Q5,仕入10%,70000,6363,1,000,共通部門,111,現金,,,00,対象外,70000,0,切手代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210406,106,21,0,1,040,大阪支店,733,交際接待費,,,Q5,仕入10%,5372,488,1,000,共通部門,111,現金,,,00,対象外,36020,0,食事代 架空店舗045 2名,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210406,106,21,0,1,040,大阪支店,733,交際接待費,,,Q5,仕入10%,30648,2786,0,,,,,,,,,,,飲食代 架空店舗022,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210406,110,21,0,1,040,大阪支店,726,旅費交通費,,,Q5,仕入10%,2290,208,1,000,共通部門,111,現金,,,00,対象外,2290,0,タクシー代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:12,,,,,,,,,,,,,,,,,,,,,,,,,
20210406,123,21,0,1,040,大阪支店,727,通信費,,,Q5,仕入10%,40000,3636,1,000,共通部門,111,現金,,,00,対象外,40000,0,切手代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210406,124,21,0,1,040,大阪支店,738,租税公課,,,00,対象外,6000,0,1,000,共通部門,111,現金,,,00,対象外,6000,0,収入印紙,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210406,147,21,0,1,050,九州営業所,740,車両費,,,Q5,仕入10%,5126,466,1,000,共通部門,322,未払金,,,00,対象外,5126,0,ガソリン代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210406,156,21,0,1,050,九州営業所,726,旅費交通費,,,Q5,仕入10%,7500,681,1,000,共通部門,111,現金,,,00,対象外,7500,0,出張旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210406,236,21,0,1,020,東京支店,733,交際接待費,,,Q5,仕入10%,26500,2409,1,000,共通部門,111,現金,,,00,対象外,26500,0,ゴルフプレー代2名,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210406,305,21,0,1,000,共通部門,131,普通預金,40,JKL銀行 梅田,00,対象外,1000000,0,1,000,共通部門,131,普通預金,20,ABC銀行 本店,00,対象外,1000000,0,資金移動,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210407,20,21,0,1,010,札幌営業所,726,旅費交通費,,,Q5,仕入10%,39000,3545,1,000,共通部門,111,現金,,,00,対象外,39000,0,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210407,21,21,0,1,010,札幌営業所,726,旅費交通費,,,Q5,仕入10%,69500,6318,1,000,共通部門,111,現金,,,00,対象外,69500,0,架空鉄道会社A代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210407,22,21,0,1,010,札幌営業所,726,旅費交通費,,,Q5,仕入10%,50000,4545,1,000,共通部門,111,現金,,,00,対象外,50000,0,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210407,43,21,0,1,020,東京支店,733,交際接待費,,,Q5,仕入10%,6630,602,1,000,共通部門,111,現金,,,00,対象外,6630,0,手土産代 星川商事株式会社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210407,56,21,0,1,020,東京支店,726,旅費交通費,,,Q5,仕入10%,21500,1954,1,000,共通部門,111,現金,,,00,対象外,21500,0,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210407,57,21,0,1,020,東京支店,726,旅費交通費,,,Q5,仕入10%,97800,8890,1,000,共通部門,111,現金,,,00,対象外,97800,0,架空鉄道会社A代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210407,58,21,0,1,020,東京支店,726,旅費交通費,,,Q5,仕入10%,70000,6363,1,000,共通部門,111,現金,,,00,対象外,70000,0,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210407,69,21,0,1,020,東京支店,791,雑費,,,Q5,仕入10%,1332,121,1,000,共通部門,111,現金,,,00,対象外,4171,0,お茶代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210407,69,21,0,1,020,東京支店,791,雑費,,,Q5,仕入10%,2839,258,0,,,,,,,,,,,コーヒー代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210407,102,21,0,1,040,大阪支店,733,交際接待費,,,Q5,仕入10%,1050,95,1,000,共通部門,111,現金,,,00,対象外,1050,0,手土産代 架空店舗089,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210408,50,21,0,1,020,東京支店,740,車両費,,,Q5,仕入10%,1200,109,1,000,共通部門,111,現金,,,00,対象外,1200,0,高速代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210408,143,21,0,1,040,大阪支店,740,車両費,,,Q5,仕入10%,7135,648,1,000,共通部門,111,現金,,,00,対象外,7135,0,ガソリン代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,33,21,0,1,010,札幌営業所,747,地代家賃,,,Q5,仕入10%,320000,29090,1,000,共通部門,131,普通預金,10,DEF銀行 駅前,00,対象外,320000,0,家賃支払い,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,33,21,0,1,010,札幌営業所,727,通信費,,,Q5,仕入10%,164130,14920,1,000,共通部門,131,普通預金,10,DEF銀行 駅前,00,対象外,164130,0,電話代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,85,21,0,1,030,名古屋支店,727,通信費,,,Q5,仕入10%,129188,11744,1,000,共通部門,131,普通預金,30,GHI銀行 名古屋,00,対象外,129188,0,電話代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,112,21,0,1,040,大阪支店,727,通信費,,,Q5,仕入10%,246816,22437,1,000,共通部門,131,普通預金,40,JKL銀行 梅田,00,対象外,246816,0,電話代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,129,21,0,1,030,名古屋支店,747,地代家賃,,,Q5,仕入10%,399000,36272,1,000,共通部門,131,普通預金,30,GHI銀行 名古屋,00,対象外,399000,0,家賃支払い,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,149,21,0,1,030,名古屋支店,733,交際接待費,,,Q5,仕入10%,5760,523,1,000,共通部門,111,現金,,,00,対象外,5760,0,食事代 架空店舗002 4名,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,157,21,0,1,050,九州営業所,726,旅費交通費,,,Q5,仕入10%,22200,2018,1,000,共通部門,131,普通預金,50,MNO銀行 北九州,00,対象外,22200,0,航空券代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,162,21,0,1,020,東京支店,734,会議費,,,Q5,仕入10%,24995,2272,1,000,共通部門,111,現金,,,00,対象外,24995,0,会議　食事代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,167,21,0,1,050,九州営業所,747,地代家賃,,,Q5,仕入10%,630000,57272,1,000,共通部門,131,普通預金,50,MNO銀行 北九州,00,対象外,630000,0,家賃支払い,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,167,21,0,1,050,九州営業所,727,通信費,,,Q5,仕入10%,166012,15092,1,000,共通部門,131,普通預金,50,MNO銀行 北九州,00,対象外,166012,0,電話代,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,168,21,0,1,050,九州営業所,791,雑費,,,Q5,仕入10%,6000,545,1,000,共通部門,322,未払金,,,00,対象外,48858,0,有線,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,168,21,0,1,050,九州営業所,791,雑費,,,Q5,仕入10%,42858,3896,0,,,,,,,,,,,警備料,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,231,21,0,1,000,共通部門,326,預り金,3,源泉税,00,対象外,224870,0,1,000,共通部門,131,普通預金,20,ABC銀行 本店,00,対象外,692570,0,源泉税支払,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,231,21,0,1,000,共通部門,326,預り金,2,住民税,00,対象外,467700,0,0,,,,,,,,,,,住民税支払,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,232,21,0,1,020,東京支店,747,地代家賃,,,Q5,仕入10%,1260000,114545,1,000,共通部門,131,普通預金,20,ABC銀行 本店,00,対象外,1260000,0,家賃支払,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,233,21,0,1,040,大阪支店,747,地代家賃,,,Q5,仕入10%,840000,76363,1,000,共通部門,131,普通預金,40,JKL銀行 梅田,00,対象外,840000,0,家賃支払,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,234,21,0,1,010,札幌営業所,791,雑費,,,Q5,仕入10%,5000,454,1,000,共通部門,322,未払金,,,00,対象外,39286,0,有線,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,234,21,0,1,010,札幌営業所,791,雑費,,,Q5,仕入10%,34286,3116,0,,,,,,,,,,,警備料,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,248,21,0,1,030,名古屋支店,726,旅費交通費,,,Q5,仕入10%,10450,950,1,000,共通部門,111,現金,,,00,対象外,10450,0,旅費,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,257,21,0,1,000,共通部門,131,普通預金,30,GHI銀行 名古屋,00,対象外,1428451,0,1,000,共通部門,152,売掛金,19,株式会社南風商会,00,対象外,1428451,0,4月10日伝票No193株式会社南風商会,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,257,21,0,1,030,名古屋支店,741,支払手数料,,,Q5,仕入10%,735,66,1,000,共通部門,152,売掛金,19,株式会社南風商会,00,対象外,735,0,4月10日伝票No193株式会社南風商会,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:13,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,258,21,0,1,000,共通部門,150,受取手形,,,00,対象外,7862107,0,1,000,共通部門,152,売掛金,28,株式会社青葉百貨店,00,対象外,7862107,0,4月10日伝票No194株式会社青葉百貨店 | 売上伝票=202103分未収録;手形番号=R20210410-258-28,200630,ROG0012455,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:14,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,259,21,0,1,000,共通部門,312,買掛金,3,青凪商事株式会社,00,対象外,1961954,0,1,000,共通部門,152,売掛金,3,青凪商事株式会社,00,対象外,1961954,0,4月10日伝票No472青凪商事株式会社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:14,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,260,21,0,1,000,共通部門,131,普通預金,20,ABC銀行 本店,00,対象外,18417920,0,1,000,共通部門,152,売掛金,14,株式会社花咲商事,00,対象外,18417920,0,4月10日伝票No494株式会社花咲商事東京本社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:14,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,260,21,0,1,020,東京支店,741,支払手数料,,,Q5,仕入10%,840,76,1,000,共通部門,152,売掛金,14,株式会社花咲商事,00,対象外,840,0,4月10日伝票No494株式会社花咲商事東京本社,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:14,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,261,21,0,1,000,共通部門,312,買掛金,3,青凪商事株式会社,00,対象外,7368349,0,1,000,共通部門,301,支払手形,,,00,対象外,7368349,0,4月10日伝票No271青凪商事株式会社,200710,P2128,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:14,,,,,,,,,,,,,,,,,,,,,,,,,
20210410,262,21,0,1,000,共通部門,312,買掛金,8,株式会社白樺商事,00,対象外,402696,0,1,000,共通部門,131,普通預金,20,ABC銀行 本店,00,対象外,402696,0,4月10日伝票No273株式会社白樺商事,,,1,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,2021-02-01 13:55:14,,,,,,,,,,,,,,,,,,,,,,,,,
