uadc_path,xbrl_source,copy_class,xbrl_sha256,uadc_sha256,result
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\gen\gl-gen-2026-12-31.xsd,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\gen\gl-gen-2026-12-31.xsd,EXACT,D83647F0F247D8A095A97B6DCDDFCDFB53940C73AB0F8BD301E6D677D51676CB,D83647F0F247D8A095A97B6DCDDFCDFB53940C73AB0F8BD301E6D677D51676CB,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\lnk\label\lnk-oim-lab-en-2026-12-31.xml,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\lnk\label\lnk-oim-lab-en-2026-12-31.xml,EXACT,9AE8EDC2014A000FB3B58C33226C625545EA894F2550C3E9AD88A20C90A76F8D,9AE8EDC2014A000FB3B58C33226C625545EA894F2550C3E9AD88A20C90A76F8D,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\lnk\label\lnk-oim-lab-ja-2026-12-31.xml,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\lnk\label\lnk-oim-lab-ja-2026-12-31.xml,EXACT,0DC128C8452D9B66B5B06CBA8C099C82C23F8156BC6756B424F2E8085A3E61F1,0DC128C8452D9B66B5B06CBA8C099C82C23F8156BC6756B424F2E8085A3E61F1,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\lnk\lnk-oim-2026-12-31.xsd,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\lnk\lnk-oim-2026-12-31.xsd,EXACT,C000090F4A888B89771E1C594FBB8A0FD0B67F1589FDBCB73150DB3CE3480AC9,C000090F4A888B89771E1C594FBB8A0FD0B67F1589FDBCB73150DB3CE3480AC9,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\muc\label\muc-oim-lab-en-2026-12-31.xml,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\muc\label\muc-oim-lab-en-2026-12-31.xml,EXACT,B308BA3802F880DC343B7B1C75212EBA0A8902B80F9B1D47DBC16A08F77813DF,B308BA3802F880DC343B7B1C75212EBA0A8902B80F9B1D47DBC16A08F77813DF,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\muc\label\muc-oim-lab-ja-2026-12-31.xml,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\muc\label\muc-oim-lab-ja-2026-12-31.xml,EXACT,E8F41193F14D7C5B6B10D82552170A7E2B42A7A67283217BA10CC870E58AB72A,E8F41193F14D7C5B6B10D82552170A7E2B42A7A67283217BA10CC870E58AB72A,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\muc\muc-oim-2026-12-31.xsd,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\muc\muc-oim-2026-12-31.xsd,EXACT,90661732A8FDA8FDA270138AD60F8051E4D088CA60C05B4A1F8B4D91C33F2475,90661732A8FDA8FDA270138AD60F8051E4D088CA60C05B4A1F8B4D91C33F2475,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\oim\cor_accountingEntries\cor-all-dim-2026-12-31.xml,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\oim\cor_accountingEntries\cor-all-dim-2026-12-31.xml,EXACT,6860DF6364EF4C1C46438841F2E300DC07CD1CF5966459E0B868C0B3DBCC1915,6860DF6364EF4C1C46438841F2E300DC07CD1CF5966459E0B868C0B3DBCC1915,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\oim\cor_accountingEntries\cor-all-oim-2026-12-31.xsd,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\oim\cor_accountingEntries\cor-all-oim-2026-12-31.xsd,EXACT,297F7285BEE0AFD2393F77250B5862679CBB7B3952B5245613FAD2BEFE2D4F61,297F7285BEE0AFD2393F77250B5862679CBB7B3952B5245613FAD2BEFE2D4F61,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\README.md,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\README.md,EXACT,,5B8E35989FCFC61111C48DABC55820BC84632D4FED8042217A5057DD982AEB49,NO_EXACT_SOURCE
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\taf\label\taf-oim-lab-en-2026-12-31.xml,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\taf\label\taf-oim-lab-en-2026-12-31.xml,EXACT,EC5EE1DBCF2AEA53BD6C2E749E418D25BF3585A45116C245807106C629153014,EC5EE1DBCF2AEA53BD6C2E749E418D25BF3585A45116C245807106C629153014,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\taf\label\taf-oim-lab-ja-2026-12-31.xml,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\taf\label\taf-oim-lab-ja-2026-12-31.xml,EXACT,95E56BA3EB5DC781424CAFAF4734F0548B16D22797A0F38C280D6D39C13EC970,95E56BA3EB5DC781424CAFAF4734F0548B16D22797A0F38C280D6D39C13EC970,MATCH
C:\Users\nobuy\GitHub\WORK\UADC_PoC\taxonomy\taf\taf-oim-2026-12-31.xsd,C:\Users\nobuy\GitHub\WORK\XBRL-GL-Next\taxonomy\accounting-entries\taf\taf-oim-2026-12-31.xsd,EXACT,438F7D7694A7C693E316A52503F96AB55BB7DF7BD17FDD9AFC125A7B0AD27F04,438F7D7694A7C693E316A52503F96AB55BB7DF7BD17FDD9AFC125A7B0AD27F04,MATCH
