column,name,multiplicity,Representation,semSort,id,path,semPath,value,line,fixedValue,term,,example
Column5,借方税計算モード,,,,,,,,,,,,
Column6,借方部門コード,1..1,Identifier,6076,BS04fb_01,/JP07a/JP08a/BS04fb/BS04fb_01,"/JP07a/JP08a/BS04fb[BS04fb_03=""department""]/BS04fb_01",,,,$.JP Journal Entry.JP Journal Entry Line.(Debit) Business Segment.Code,JpJrnEntry.JpJrnEntryLin.DebtBusSg.Cd,
Column7,借方部門名,0..1,Name,6077,BS04fb_02,/JP07a/JP08a/BS04fb/BS04fb_02,"/JP07a/JP08a/BS04fb[BS04fb_03=""department""]/BS04fb_02",,,,$.JP Journal Entry.JP Journal Entry Line.(Debit) Business Segment.Name,JpJrnEntry.JpJrnEntryLin.DebtBusSg.Nm,
Column8,借方科目コード,1..1,Identifier,5976,JP06e_GE24_01,/JP07a/JP08a/JP06e_GE24_01,/JP07a/JP08a/JP06e_GE24_01,,,,$.JP Journal Entry.JP Journal Entry Line.(Debit) JP Ledger Account.Account Number,JpJrnEntry.JpJrnEntryLin.DebtJpLedgrAcnt.AcntNr,
Column9,借方科目名,0..1,Name,5977,JP06e_GE24_02,/JP07a/JP08a/JP06e_GE24_02,/JP07a/JP08a/JP06e_GE24_02,,,,$.JP Journal Entry.JP Journal Entry Line.(Debit) JP Ledger Account.Account Name,JpJrnEntry.JpJrnEntryLin.DebtJpLedgrAcnt.AcntNam,
Column10,借方補助科目コード,0..1,Char,5984,JP05a_01,/JP07a/JP08a/JP05a/JP05a_01,"/JP07a/JP08a/JP05a[JP05a_03=""sub-account""]/JP05a_01",,,,$.JP Journal Entry.JP Journal Entry Line.(Debit) JP Ledger Account.Subsidiary Ledger Account.Subsidiary Item Number,JpJrnEntry.JpJrnEntryLin.DebtJpLedgrAcnt.SubsdrLedgrAcnt.SubsdrItmNr,
Column11,借方補助科目名,0..1,Name,5985,JP05a_02,/JP07a/JP08a/JP05a/JP05a_02,"/JP07a/JP08a/JP05a[JP05a_03=""sub-account""]/JP05a_02",,,,$.JP Journal Entry.JP Journal Entry Line.(Debit) JP Ledger Account.Subsidiary Ledger Account.Subsidiary Item Name,JpJrnEntry.JpJrnEntryLin.DebtJpLedgrAcnt.SubsdrLedgrAcnt.SubsdrItmNam,
Column12,借方税区分コード,1..1,Identifier,6017,JP02j_BS09_01,/JP07a/JP08a/JP02j_BS09_01,/JP07a/JP08a/JP02j_BS09_01,,,,$.JP Journal Entry.JP Journal Entry Line.(Debit) Consumption Tax Line.JP Tax Type.Code,JpJrnEntry.JpJrnEntryLin.DebtConsmpTxLin.JpTxTyp.Cd,
Column13,借方税区分名,0..1,Name,6018,JP02j_BS09_02,/JP07a/JP08a/JP02j_BS09_02,/JP07a/JP08a/JP02j_BS09_02,,,,$.JP Journal Entry.JP Journal Entry Line.(Debit) Consumption Tax Line.JP Tax Type.Tax Name,JpJrnEntry.JpJrnEntryLin.DebtConsmpTxLin.JpTxTyp.TxNam,
Column14,借方金額,0..1,Decimal,5994,GE05ku_01,/JP07a/JP08a/GE05ku_01,/JP07a/JP08a/GE05ku_01,,,,$.JP Journal Entry.JP Journal Entry Line.(Debit) Amounts.(Local) Amount.Value,JpJrnEntry.JpJrnEntryLin.DebtAmnts.LoclAmt.Vl,
Column15,借方消費税額,0..1,Decimal,6007,GE05kw_01,/JP07a/JP08a/GE05kw_01,/JP07a/JP08a/GE05kw_01,,,,$.JP Journal Entry.JP Journal Entry Line.(Debit) Consumption Tax Line.(Local) Amount.Value,JpJrnEntry.JpJrnEntryLin.DebtConsmpTxLin.LoclAmt.Vl,
Column16,貸方税計算モード,,,,,,,,,,,,
Column17,貸方部門コード,1..1,Identifier,6081,BS04fc_01,/JP07a/JP08a/BS04fc/BS04fc_01,"/JP07a/JP08a/BS04fc[BS04fc_03=""department""]/BS04fc_01",,,,$.JP Journal Entry.JP Journal Entry Line.(Credit) Business Segment.Code,JpJrnEntry.JpJrnEntryLin.CrdtBusSg.Cd,
Column18,貸方部門名,0..1,Name,6082,BS04fc_02,/JP07a/JP08a/BS04fc/BS04fc_02,"/JP07a/JP08a/BS04fc[BS04fc_03=""department""]/BS04fc_02",,,,$.JP Journal Entry.JP Journal Entry Line.(Credit) Business Segment.Name,JpJrnEntry.JpJrnEntryLin.CrdtBusSg.Nm,
Column19,貸方科目コード,1..1,Identifier,6026,JP06f_GE24_01,/JP07a/JP08a/JP06f_GE24_01,/JP07a/JP08a/JP06f_GE24_01,,,,$.JP Journal Entry.JP Journal Entry Line.(Credit) JP Ledger Account.Account Number,JpJrnEntry.JpJrnEntryLin.CrdtJpLedgrAcnt.AcntNr,
Column20,貸方科目名,0..1,Name,6027,JP06f_GE24_02,/JP07a/JP08a/JP06f_GE24_02,/JP07a/JP08a/JP06f_GE24_02,,,,$.JP Journal Entry.JP Journal Entry Line.(Credit) JP Ledger Account.Account Name,JpJrnEntry.JpJrnEntryLin.CrdtJpLedgrAcnt.AcntNam,
Column21,貸方補助科目コード,0..1,Char,6034,JP05b_01,/JP07a/JP08a/JP05b/JP05b_01,"/JP07a/JP08a/JP05b[JP05b_03=""sub-account""]/JP05b_01",,,,$.JP Journal Entry.JP Journal Entry Line.(Credit) JP Ledger Account.Subsidiary Ledger Account.Subsidiary Item Number,JpJrnEntry.JpJrnEntryLin.CrdtJpLedgrAcnt.SubsdrLedgrAcnt.SubsdrItmNr,
Column22,貸方補助科目名,0..1,Name,6035,JP05b_02,/JP07a/JP08a/JP05b/JP05b_02,"/JP07a/JP08a/JP05b[JP05b_03=""sub-account""]/JP05b_02",,,,$.JP Journal Entry.JP Journal Entry Line.(Credit) JP Ledger Account.Subsidiary Ledger Account.Subsidiary Item Name,JpJrnEntry.JpJrnEntryLin.CrdtJpLedgrAcnt.SubsdrLedgrAcnt.SubsdrItmNam,
Column23,貸方税区分コード,1..1,Identifier,6067,JP02k_BS09_01,/JP07a/JP08a/JP02k_BS09_01,/JP07a/JP08a/JP02k_BS09_01,,,,$.JP Journal Entry.JP Journal Entry Line.(Credit) Consumption Tax Line.JP Tax Type.Code,JpJrnEntry.JpJrnEntryLin.CrdtConsmpTxLin.JpTxTyp.Cd,
Column24,貸方税区分名,0..1,Name,6068,JP02k_BS09_02,/JP07a/JP08a/JP02k_BS09_02,/JP07a/JP08a/JP02k_BS09_02,,,,$.JP Journal Entry.JP Journal Entry Line.(Credit) Consumption Tax Line.JP Tax Type.Tax Name,JpJrnEntry.JpJrnEntryLin.CrdtConsmpTxLin.JpTxTyp.TxNam,
Column25,貸方金額,0..1,Decimal,6044,GE05kz_01,/JP07a/JP08a/GE05kz_01,/JP07a/JP08a/GE05kz_01,,,,$.JP Journal Entry.JP Journal Entry Line.(Credit) Amounts.(Local) Amount.Value,JpJrnEntry.JpJrnEntryLin.CrdtAmnts.LoclAmt.Vl,
Column26,貸方消費税額,0..1,Decimal,6057,GE05kB_01,/JP07a/JP08a/GE05kB_01,/JP07a/JP08a/GE05kB_01,,,,$.JP Journal Entry.JP Journal Entry Line.(Credit) Consumption Tax Line.(Local) Amount.Value,JpJrnEntry.JpJrnEntryLin.CrdtConsmpTxLin.LoclAmt.Vl,
Column27,摘要文,0..1,Text,5946,JP08a_GL04_03,/JP07a/JP08a/JP08a_GL04_03,/JP07a/JP08a/JP08a_GL04_03,,,,$.JP Journal Entry.JP Journal Entry Line.Description,JpJrnEntry.JpJrnEntryLin.Dscr,
Column28,数字１,,,,,,,,,,,,
Column29,数字２,,,,,,,,,,,,
Column30,入力プログラム区分,1..1,Identifier,5919,GL05c_01,/JP07a/GL05c_01,/JP07a/GL05c_01,,,,$.JP Journal Entry.General Ledger Source.Code,JpJrnEntry.GenrLedgrSorc.Cd,
Column31,配賦元税計算,,,,,,,,,,,,
Column32,配賦元集計方法,,,,,,,,,,,,
Column33,配賦元集計開始日付,,,,,,,,,,,,
Column34,配賦元集計終了日付,,,,,,,,,,,,
Column35,配賦元管理仕訳区分,,,,,,,,,,,,
Column36,配賦元部門コード,,,,,,,,,,,,
Column37,配賦元部門名,,,,,,,,,,,,
Column38,配賦元科目コード,,,,,,,,,,,,
Column39,配賦元科目名,,,,,,,,,,,,
Column40,配賦元補助コード,,,,,,,,,,,,
Column41,配賦元補助名,,,,,,,,,,,,
Column42,配賦元金額,,,,,,,,,,,,
Column43,数字３,,,,,,,,,,,,
Column44,数字４,,,,,,,,,,,,
Column45,数字５,,,,,,,,,,,,
Column46,金額１,,,,,,,,,,,,
Column47,金額２,,,,,,,,,,,,
Column48,金額３,,,,,,,,,,,,
Column49,金額４,,,,,,,,,,,,
Column50,金額５,,,,,,,,,,,,
Column51,文字列１,,,,,,,,,,,,
Column52,文字列２,,,,,,,,,,,,
Column53,文字列３,,,,,,,,,,,,
Column54,文字列４,,,,,,,,,,,,
Column55,文字列５,,,,,,,,,,,,
Column56,入力日付時間,0..1,Date,5929,GE09eR_01,/JP07a/GE09eR_01,/JP07a/GE09eR_01,,,,$.JP Journal Entry.Activities.(Created) Activity.Date,JpJrnEntry.Acts.CrtdAct.Dt,
Column57,借方取引先コード,,,,,,,,,,,,
Column58,借方取引先名,,,,,,,,,,,,
Column59,借方セグメント１コード,,,,,,,,,,,,
Column60,借方セグメント１名,,,,,,,,,,,,
Column61,借方セグメント２コード,,,,,,,,,,,,
Column62,借方セグメント２名,,,,,,,,,,,,
Column63,借方セグメント３コード,,,,,,,,,,,,
Column64,借方セグメント３名,,,,,,,,,,,,
Column65,貸方取引先コード,,,,,,,,,,,,
Column66,貸方取引先名,,,,,,,,,,,,
Column67,貸方セグメント１コード,,,,,,,,,,,,
Column68,貸方セグメント１名,,,,,,,,,,,,
Column69,貸方セグメント２コード,,,,,,,,,,,,
Column70,貸方セグメント２名,,,,,,,,,,,,
Column71,貸方セグメント３コード,,,,,,,,,,,,
Column72,貸方セグメント３名,,,,,,,,,,,,
Column73,配賦選択,,,,,,,,,,,,
Column74,配賦元取引先コード,,,,,,,,,,,,
Column75,配賦元取引先名,,,,,,,,,,,,
Column76,配賦元セグメント１コード,,,,,,,,,,,,
Column77,配賦元セグメント１名,,,,,,,,,,,,
Column78,配賦元セグメント２コード,,,,,,,,,,,,
Column79,配賦元セグメント２名,,,,,,,,,,,,
Column80,配賦元セグメント３コード,,,,,,,,,,,,
Column81,配賦元セグメント３名,,,,,,,,,,,,
Column79,配賦元セグメント２名,,,,,,,,,,,,
Column80,配賦元セグメント３コード,,,,,,,,,,,,
Column81,配賦元セグメント３名,,,,,,,,,,,,
