sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path
4641,4,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,JP,32,P Order Line.(Base) Quantity.Measurement Unit.UOM Code,BS02bx_01,/JP16a/BS02bx_01,$.JP Order Line.(Base) Quantity.Measurement Unit.UOM Code,JpOrdLin.BasQt.MeaUnt.UomCod
4642,2,R,,P Order Line.(Receipt Organization) Business Segment,,0..1,,"The reference association to the Receipt Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",JP,4,P Order Line.(Receipt Organization) Business Segment,BS04dm,/JP16a/BS04dm,$.JP Order Line.(Receipt Organization) Business Segment,JpOrdLin.RecptOrgnztBusSg
4643,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,JP,4,P Order Line.(Receipt Organization) Business Segment.Code,BS04dm_01,/JP16a/BS04dm_01,$.JP Order Line.(Receipt Organization) Business Segment.Code,JpOrdLin.RecptOrgnztBusSg.Cd
4644,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",JP,4,P Order Line.(Receipt Organization) Business Segment.Segment Reference Level,BS04dm_03,/JP16a/BS04dm_03,$.JP Order Line.(Receipt Organization) Business Segment.Segment Reference Level,JpOrdLin.RecptOrgnztBusSg.SgRefLevl
4645,2,R,,P Order Line.(Dispatch Organization) Business Segment,,0..1,,"The reference association to the Dispatch Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",JP,4,P Order Line.(Dispatch Organization) Business Segment,BS04dn,/JP16a/BS04dn,$.JP Order Line.(Dispatch Organization) Business Segment,JpOrdLin.DisptcOrgnztBusSg
4646,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,JP,4,P Order Line.(Dispatch Organization) Business Segment.Code,BS04dn_01,/JP16a/BS04dn_01,$.JP Order Line.(Dispatch Organization) Business Segment.Code,JpOrdLin.DisptcOrgnztBusSg.Cd
4647,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",JP,4,P Order Line.(Dispatch Organization) Business Segment.Segment Reference Level,BS04dn_03,/JP16a/BS04dn_03,$.JP Order Line.(Dispatch Organization) Business Segment.Segment Reference Level,JpOrdLin.DisptcOrgnztBusSg.SgRefLevl
4648,2,R,,P Order Line.(Settlement Organization) Business Segment,,0..1,,"The reference association to the Settlement Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",JP,4,P Order Line.(Settlement Organization) Business Segment,BS04do,/JP16a/BS04do,$.JP Order Line.(Settlement Organization) Business Segment,JpOrdLin.SettlmOrgnztBusSg
4649,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,JP,4,P Order Line.(Settlement Organization) Business Segment.Code,BS04do_01,/JP16a/BS04do_01,$.JP Order Line.(Settlement Organization) Business Segment.Code,JpOrdLin.SettlmOrgnztBusSg.Cd
4650,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",JP,4,P Order Line.(Settlement Organization) Business Segment.Segment Reference Level,BS04do_03,/JP16a/BS04do_03,$.JP Order Line.(Settlement Organization) Business Segment.Segment Reference Level,JpOrdLin.SettlmOrgnztBusSg.SgRefLevl
4651,2,R,,P Order Line.Contract,,0..1,,"The reference association to the Contract class, which is a class that encapsulates the terms and agreements between parties.",JP,0,P Order Line.Contract,GE25c,/JP16a/GE25c,$.JP Order Line.Contract,JpOrdLin.Contr
4652,3,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for a business document.,JP,0,P Order Line.Contract.ID,GE25c_GE03_01,/JP16a/GE25c_GE03_01,$.JP Order Line.Contract.ID,JpOrdLin.Contr.Id
4653,2,R,,P Order Line.Contract Line,,0..1,,"The reference association to the Contract Line class, which is a class representing the specifics of goods or services agreed upon in a contract.",JP,0,P Order Line.Contract Line,GE26c,/JP16a/GE26c,$.JP Order Line.Contract Line,JpOrdLin.ContrLin
4654,3,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for a line item within a contract.,JP,0,P Order Line.Contract Line.ID,GE26c_GE04_01,/JP16a/GE26c_GE04_01,$.JP Order Line.Contract Line.ID,JpOrdLin.ContrLin.Id
4655,2,C,,P Order Line.(Standard Product Cost) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Order Line.(Standard Product Cost) Amount,GE05h3,/JP16a/GE05h3,$.JP Order Line.(Standard Product Cost) Amount,JpOrdLin.StndrdPrdctCostAmt
4656,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Order Line.(Standard Product Cost) Amount.Value,GE05h3_01,/JP16a/GE05h3_01,$.JP Order Line.(Standard Product Cost) Amount.Value,JpOrdLin.StndrdPrdctCostAmt.Vl
4657,3,R,,P Order Line.(Standard Product Cost) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Order Line.(Standard Product Cost) Amount.Currency,BS01h9,/JP16a/BS01h9,$.JP Order Line.(Standard Product Cost) Amount.Currency,JpOrdLin.StndrdPrdctCostAmt.Cur
4658,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Order Line.(Standard Product Cost) Amount.Currency.Code,BS01h9_01,/JP16a/BS01h9_01,$.JP Order Line.(Standard Product Cost) Amount.Currency.Code,JpOrdLin.StndrdPrdctCostAmt.Cur.Cd
4659,2,C,,P Order Line.(Standard Cost Per Unit) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Order Line.(Standard Cost Per Unit) Amount,GE05h4,/JP16a/GE05h4,$.JP Order Line.(Standard Cost Per Unit) Amount,JpOrdLin.StndrdCostPerUntAmt
4660,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Order Line.(Standard Cost Per Unit) Amount.Value,GE05h4_01,/JP16a/GE05h4_01,$.JP Order Line.(Standard Cost Per Unit) Amount.Value,JpOrdLin.StndrdCostPerUntAmt.Vl
4661,3,R,,P Order Line.(Standard Cost Per Unit) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Order Line.(Standard Cost Per Unit) Amount.Currency,BS01ha,/JP16a/BS01ha,$.JP Order Line.(Standard Cost Per Unit) Amount.Currency,JpOrdLin.StndrdCostPerUntAmt.Cur
4662,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Order Line.(Standard Cost Per Unit) Amount.Currency.Code,BS01ha_01,/JP16a/BS01ha_01,$.JP Order Line.(Standard Cost Per Unit) Amount.Currency.Code,JpOrdLin.StndrdCostPerUntAmt.Cur.Cd
4663,2,C,,P Order Line.(List Price) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Order Line.(List Price) Amount,GE05h5,/JP16a/GE05h5,$.JP Order Line.(List Price) Amount,JpOrdLin.ListPrcAmt
4664,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Order Line.(List Price) Amount.Value,GE05h5_01,/JP16a/GE05h5_01,$.JP Order Line.(List Price) Amount.Value,JpOrdLin.ListPrcAmt.Vl
4665,3,R,,P Order Line.(List Price) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Order Line.(List Price) Amount.Currency,BS01hb,/JP16a/BS01hb,$.JP Order Line.(List Price) Amount.Currency,JpOrdLin.ListPrcAmt.Cur
4666,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Order Line.(List Price) Amount.Currency.Code,BS01hb_01,/JP16a/BS01hb_01,$.JP Order Line.(List Price) Amount.Currency.Code,JpOrdLin.ListPrcAmt.Cur.Cd
4667,2,C,,P Order Line.(Standard Unit Price) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,P Order Line.(Standard Unit Price) Amount,GE05h6,/JP16a/GE05h6,$.JP Order Line.(Standard Unit Price) Amount,JpOrdLin.StndrdUntPrcAmt
4668,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,P Order Line.(Standard Unit Price) Amount.Value,GE05h6_01,/JP16a/GE05h6_01,$.JP Order Line.(Standard Unit Price) Amount.Value,JpOrdLin.StndrdUntPrcAmt.Vl
4669,3,R,,P Order Line.(Standard Unit Price) Amount.Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,P Order Line.(Standard Unit Price) Amount.Currency,BS01hc,/JP16a/BS01hc,$.JP Order Line.(Standard Unit Price) Amount.Currency,JpOrdLin.StndrdUntPrcAmt.Cur
4670,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,P Order Line.(Standard Unit Price) Amount.Currency.Code,BS01hc_01,/JP16a/BS01hc_01,$.JP Order Line.(Standard Unit Price) Amount.Currency.Code,JpOrdLin.StndrdUntPrcAmt.Cur.Cd
4671,2,C,,P Order Line.JP Product,,0..1,,"Although ISO 21378:2019 does not define a textual name or description for inventory products, such textual information is essential for auditors to understand the context and details of the inventory. Therefore, it is recommended to add a description for each inventory product.",JP,0,P Order Line.JP Product,JP01a,/JP16a/JP01a,$.JP Order Line.JP Product,JpOrdLin.JpPrdct
4672,3,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for an inventory item.,JP,125,P Order Line.JP Product.ID,JP01a_IV06_01,/JP16a/JP01a_IV06_01,$.JP Order Line.JP Product.ID,JpOrdLin.JpPrdct.Id
4673,3,A,,Code,Char,0..1,Char Long,The exclusive code assigned to a product within an inventory system for tracking and internal management.,JP,125,P Order Line.JP Product.Code,JP01a_IV06_02,/JP16a/JP01a_IV06_02,$.JP Order Line.JP Product.Code,JpOrdLin.JpPrdct.Cd
4674,3,A,,Product Group1,Char,0..1,Char Short,The primary category or classification to which a product belongs.,JP,125,P Order Line.JP Product.Product Group1,JP01a_IV06_03,/JP16a/JP01a_IV06_03,$.JP Order Line.JP Product.Product Group1,JpOrdLin.JpPrdct.PrdctGrp
4675,3,A,,Product Group2,Char,0..1,Char Short,The secondary category or classification to which a product belongs.,JP,125,P Order Line.JP Product.Product Group2,JP01a_IV06_04,/JP16a/JP01a_IV06_04,$.JP Order Line.JP Product.Product Group2,JpOrdLin.JpPrdct.PrdctGrp
4676,3,A,,Inventory Bar Code,Char,0..1,Char Medium,The barcode symbol assigned to a product for unique identification and tracking.,JP,125,P Order Line.JP Product.Inventory Bar Code,JP01a_IV06_05,/JP16a/JP01a_IV06_05,$.JP Order Line.JP Product.Inventory Bar Code,JpOrdLin.JpPrdct.InvBarCod
4677,3,A,,Default Costing Method,Char,0..1,Char Medium,"The method an organization uses to compute and record the financial value of inventory items, important for precise cost of goods sold reporting and inventory valuation on financial statements.",JP,125,P Order Line.JP Product.Default Costing Method,JP01a_IV06_06,/JP16a/JP01a_IV06_06,$.JP Order Line.JP Product.Default Costing Method,JpOrdLin.JpPrdct.DftCostngMethd
4678,3,A,,Out Of Service Date,Date,0..1,DATE,The date on which an inventory item is designated as no longer in service.,JP,125,P Order Line.JP Product.Out Of Service Date,JP01a_IV06_07,/JP16a/JP01a_IV06_07,$.JP Order Line.JP Product.Out Of Service Date,JpOrdLin.JpPrdct.OutOfSrvcDt
4679,3,A,,Out Of Service Indicator,Indicator,0..1,Indicator,The indicator that denotes whether an inventory item is out of service.,JP,125,P Order Line.JP Product.Out Of Service Indicator,JP01a_IV06_08,/JP16a/JP01a_IV06_08,$.JP Order Line.JP Product.Out Of Service Indicator,JpOrdLin.JpPrdct.OutOfSrvcInd
4680,3,A,,Lot Number,Char,0..1,Char Medium,The number for a batch of products for tracking and inventory management purposes.,JP,125,P Order Line.JP Product.Lot Number,JP01a_IV06_09,/JP16a/JP01a_IV06_09,$.JP Order Line.JP Product.Lot Number,JpOrdLin.JpPrdct.LotNr
4681,3,A,,Serial Number,Char,0..1,Char Medium,"The number for an individual item within a group of products, used for tracking and inventory management.",JP,125,P Order Line.JP Product.Serial Number,JP01a_IV06_10,/JP16a/JP01a_IV06_10,$.JP Order Line.JP Product.Serial Number,JpOrdLin.JpPrdct.SerlNr
4682,3,A,,Description,Text,0..1,TAX CATEGORY CODE,A textual name or description for inventory product.,JP,0,P Order Line.JP Product.Description,JP01a_01,/JP16a/JP01a_01,$.JP Order Line.JP Product.Description,JpOrdLin.JpPrdct.Dscr
4683,3,R,,P Order Line.JP Product.Inventory Product Type,,0..1,,"The reference association to the Inventory Product Type class, which is a class that categorizes inventory items into types and organizes these types within a hierarchical structure.",JP,123,P Order Line.JP Product.Inventory Product Type,IV07e,/JP16a/IV07e,$.JP Order Line.JP Product.Inventory Product Type,JpOrdLin.JpPrdct.InvPrdctTyp
4684,3,R,,P Order Line.JP Product.(Asset) Ledger Account,,0..1,,"The reference association to the Asset Ledger Account class, which is a class stores information about General Ledger accounts.",JP,0,P Order Line.JP Product.(Asset) Ledger Account,GE24cY,/JP16a/GE24cY,$.JP Order Line.JP Product.(Asset) Ledger Account,JpOrdLin.JpPrdct.AsstLedgrAcnt
4685,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",JP,0,P Order Line.JP Product.(Asset) Ledger Account.Account Number,GE24cY_01,/JP16a/GE24cY_01,$.JP Order Line.JP Product.(Asset) Ledger Account.Account Number,JpOrdLin.JpPrdct.AsstLedgrAcnt.AcntNr
4686,3,R,,P Order Line.JP Product.(Cost) Ledger Account,,0..1,,"The reference association to the Cost Ledger Account class, which is a class stores information about General Ledger accounts.",JP,0,P Order Line.JP Product.(Cost) Ledger Account,GE24cZ,/JP16a/GE24cZ,$.JP Order Line.JP Product.(Cost) Ledger Account,JpOrdLin.JpPrdct.CostLedgrAcnt
4687,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",JP,0,P Order Line.JP Product.(Cost) Ledger Account.Account Number,GE24cZ_01,/JP16a/GE24cZ_01,$.JP Order Line.JP Product.(Cost) Ledger Account.Account Number,JpOrdLin.JpPrdct.CostLedgrAcnt.AcntNr
4688,3,R,,P Order Line.JP Product.(Basic) Measurement Unit,,0..1,,"The reference association to the Basic Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",JP,32,P Order Line.JP Product.(Basic) Measurement Unit,BS02by,/JP16a/BS02by,$.JP Order Line.JP Product.(Basic) Measurement Unit,JpOrdLin.JpPrdct.BascMeaUnt
4689,4,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,JP,32,P Order Line.JP Product.(Basic) Measurement Unit.UOM Code,BS02by_01,/JP16a/BS02by_01,$.JP Order Line.JP Product.(Basic) Measurement Unit.UOM Code,JpOrdLin.JpPrdct.BascMeaUnt.UomCod
4690,3,R,,P Order Line.JP Product.(Default Stocking) Measurement Unit,,0..1,,"The reference association to the Default Stocking Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",JP,32,P Order Line.JP Product.(Default Stocking) Measurement Unit,BS02bz,/JP16a/BS02bz,$.JP Order Line.JP Product.(Default Stocking) Measurement Unit,JpOrdLin.JpPrdct.DefltStckngMeaUnt
4691,4,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,JP,32,P Order Line.JP Product.(Default Stocking) Measurement Unit.UOM Code,BS02bz_01,/JP16a/BS02bz_01,$.JP Order Line.JP Product.(Default Stocking) Measurement Unit.UOM Code,JpOrdLin.JpPrdct.DefltStckngMeaUnt.UomCod
4692,3,R,,P Order Line.JP Product.(Preferred) Supplier,,0..1,,"The reference association to the Preferred Supplier class, which is a class containing essential information about suppliers.",JP,0,P Order Line.JP Product.(Preferred) Supplier,GE22t,/JP16a/GE22t,$.JP Order Line.JP Product.(Preferred) Supplier,JpOrdLin.JpPrdct.PrfrrdSupl
4693,4,A,REF,Account ID,Identifier,1..1,Identifier Long,The reference identifier for a supplier account.,JP,0,P Order Line.JP Product.(Preferred) Supplier.Account ID,GE22t_01,/JP16a/GE22t_01,$.JP Order Line.JP Product.(Preferred) Supplier.Account ID,JpOrdLin.JpPrdct.PrfrrdSupl.AcntId
4694,3,R,,P Order Line.JP Product.Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",JP,4,P Order Line.JP Product.Business Segment,BS04dp,/JP16a/BS04dp,$.JP Order Line.JP Product.Business Segment,JpOrdLin.JpPrdct.BusSg
4695,4,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,JP,4,P Order Line.JP Product.Business Segment.Code,BS04dp_01,/JP16a/BS04dp/BS04dp_01,$.JP Order Line.JP Product.Business Segment.Code,JpOrdLin.JpPrdct.BusSg.Cd
4696,4,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",JP,4,P Order Line.JP Product.Business Segment.Segment Reference Level,BS04dp_03,/JP16a/BS04dp/BS04dp_03,$.JP Order Line.JP Product.Business Segment.Segment Reference Level,JpOrdLin.JpPrdct.BusSg.SgRefLevl
4697,2,C,,P Order Line.Consumption Tax Line,,0..1,,"A class refers to the specific entry for consumption tax within a document. It excludes the tax amount from the shared ""Tax"" definition to ensure clear distinction and accuracy in tax reporting.",JP,0,P Order Line.Consumption Tax Line,JP04a,/JP16a/JP04a,$.JP Order Line.Consumption Tax Line,JpOrdLin.ConsmpTxLin
