column,name,multiplicity,datatype,semantic_sort,id,path,semantic_path,legacy_selector,fixed_value,legacy_sem_path,legacy_label_path,mapping_status,note
Column5,借方税計算モード,,,,,,,,,,,unmapped,
Column6,借方部門コード,1..1,Identifier,6076,BS04fb_01,/JP07a/JP08a/BS04fb/BS04fb_01,,,,"/JP07a/JP08a/BS04fb[BS04fb_03=""department""]/BS04fb_01",$.JP Journal Entry.JP Journal Entry Line.(Debit) Business Segment.Code,extension_required,
Column7,借方部門名,0..1,Name,6077,BS04fb_02,/JP07a/JP08a/BS04fb/BS04fb_02,,,,"/JP07a/JP08a/BS04fb[BS04fb_03=""department""]/BS04fb_02",$.JP Journal Entry.JP Journal Entry Line.(Debit) Business Segment.Name,extension_required,
Column8,借方科目コード,1..1,Identifier,5976,JP06e_GE24_01,/JP07a/JP08a/JP06e_GE24_01,,,,/JP07a/JP08a/JP06e_GE24_01,$.JP Journal Entry.JP Journal Entry Line.(Debit) JP Ledger Account.Account Number,extension_required,
Column9,借方科目名,0..1,Name,5977,JP06e_GE24_02,/JP07a/JP08a/JP06e_GE24_02,,,,/JP07a/JP08a/JP06e_GE24_02,$.JP Journal Entry.JP Journal Entry Line.(Debit) JP Ledger Account.Account Name,extension_required,
Column10,借方補助科目コード,0..1,Char,5984,JP05a_01,/JP07a/JP08a/JP05a/JP05a_01,,,,"/JP07a/JP08a/JP05a[JP05a_03=""sub-account""]/JP05a_01",$.JP Journal Entry.JP Journal Entry Line.(Debit) JP Ledger Account.Subsidiary Ledger Account.Subsidiary Item Number,extension_required,
Column11,借方補助科目名,0..1,Name,5985,JP05a_02,/JP07a/JP08a/JP05a/JP05a_02,,,,"/JP07a/JP08a/JP05a[JP05a_03=""sub-account""]/JP05a_02",$.JP Journal Entry.JP Journal Entry Line.(Debit) JP Ledger Account.Subsidiary Ledger Account.Subsidiary Item Name,extension_required,
Column12,借方税区分コード,1..1,Identifier,6017,JP02j_BS09_01,/JP07a/JP08a/JP02j_BS09_01,,,,/JP07a/JP08a/JP02j_BS09_01,$.JP Journal Entry.JP Journal Entry Line.(Debit) Consumption Tax Line.JP Tax Type.Code,extension_required,
Column13,借方税区分名,0..1,Name,6018,JP02j_BS09_02,/JP07a/JP08a/JP02j_BS09_02,,,,/JP07a/JP08a/JP02j_BS09_02,$.JP Journal Entry.JP Journal Entry Line.(Debit) Consumption Tax Line.JP Tax Type.Tax Name,extension_required,
Column14,借方金額,0..1,Decimal,5994,GE05ku_01,/JP07a/JP08a/GE05ku_01,"$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator=""D""].cor_MonetaryAmount",,,/JP07a/JP08a/GE05ku_01,$.JP Journal Entry.JP Journal Entry Line.(Debit) Amounts.(Local) Amount.Value,mapped,
Column15,借方消費税額,0..1,Decimal,6007,GE05kw_01,/JP07a/JP08a/GE05kw_01,,,,/JP07a/JP08a/GE05kw_01,$.JP Journal Entry.JP Journal Entry Line.(Debit) Consumption Tax Line.(Local) Amount.Value,extension_required,
Column16,貸方税計算モード,,,,,,,,,,,unmapped,
Column17,貸方部門コード,1..1,Identifier,6081,BS04fc_01,/JP07a/JP08a/BS04fc/BS04fc_01,,,,"/JP07a/JP08a/BS04fc[BS04fc_03=""department""]/BS04fc_01",$.JP Journal Entry.JP Journal Entry Line.(Credit) Business Segment.Code,extension_required,
Column18,貸方部門名,0..1,Name,6082,BS04fc_02,/JP07a/JP08a/BS04fc/BS04fc_02,,,,"/JP07a/JP08a/BS04fc[BS04fc_03=""department""]/BS04fc_02",$.JP Journal Entry.JP Journal Entry Line.(Credit) Business Segment.Name,extension_required,
Column19,貸方科目コード,1..1,Identifier,6026,JP06f_GE24_01,/JP07a/JP08a/JP06f_GE24_01,,,,/JP07a/JP08a/JP06f_GE24_01,$.JP Journal Entry.JP Journal Entry Line.(Credit) JP Ledger Account.Account Number,extension_required,
Column20,貸方科目名,0..1,Name,6027,JP06f_GE24_02,/JP07a/JP08a/JP06f_GE24_02,,,,/JP07a/JP08a/JP06f_GE24_02,$.JP Journal Entry.JP Journal Entry Line.(Credit) JP Ledger Account.Account Name,extension_required,
Column21,貸方補助科目コード,0..1,Char,6034,JP05b_01,/JP07a/JP08a/JP05b/JP05b_01,,,,"/JP07a/JP08a/JP05b[JP05b_03=""sub-account""]/JP05b_01",$.JP Journal Entry.JP Journal Entry Line.(Credit) JP Ledger Account.Subsidiary Ledger Account.Subsidiary Item Number,extension_required,
Column22,貸方補助科目名,0..1,Name,6035,JP05b_02,/JP07a/JP08a/JP05b/JP05b_02,,,,"/JP07a/JP08a/JP05b[JP05b_03=""sub-account""]/JP05b_02",$.JP Journal Entry.JP Journal Entry Line.(Credit) JP Ledger Account.Subsidiary Ledger Account.Subsidiary Item Name,extension_required,
Column23,貸方税区分コード,1..1,Identifier,6067,JP02k_BS09_01,/JP07a/JP08a/JP02k_BS09_01,,,,/JP07a/JP08a/JP02k_BS09_01,$.JP Journal Entry.JP Journal Entry Line.(Credit) Consumption Tax Line.JP Tax Type.Code,extension_required,
Column24,貸方税区分名,0..1,Name,6068,JP02k_BS09_02,/JP07a/JP08a/JP02k_BS09_02,,,,/JP07a/JP08a/JP02k_BS09_02,$.JP Journal Entry.JP Journal Entry Line.(Credit) Consumption Tax Line.JP Tax Type.Tax Name,extension_required,
Column25,貸方金額,0..1,Decimal,6044,GE05kz_01,/JP07a/JP08a/GE05kz_01,"$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator=""C""].cor_MonetaryAmount",,,/JP07a/JP08a/GE05kz_01,$.JP Journal Entry.JP Journal Entry Line.(Credit) Amounts.(Local) Amount.Value,mapped,
Column26,貸方消費税額,0..1,Decimal,6057,GE05kB_01,/JP07a/JP08a/GE05kB_01,,,,/JP07a/JP08a/GE05kB_01,$.JP Journal Entry.JP Journal Entry Line.(Credit) Consumption Tax Line.(Local) Amount.Value,extension_required,
Column27,摘要文,0..1,Text,5946,JP08a_GL04_03,/JP07a/JP08a/JP08a_GL04_03,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,,,/JP07a/JP08a/JP08a_GL04_03,$.JP Journal Entry.JP Journal Entry Line.Description,mapped,
Column28,数字１,,,,,,,,,,,unmapped,
Column29,数字２,,,,,,,,,,,unmapped,
Column30,入力プログラム区分,1..1,Identifier,5919,GL05c_01,/JP07a/GL05c_01,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryOrigin,,,/JP07a/GL05c_01,$.JP Journal Entry.General Ledger Source.Code,mapped,
Column31,配賦元税計算,,,,,,,,,,,unmapped,
Column32,配賦元集計方法,,,,,,,,,,,unmapped,
Column33,配賦元集計開始日付,,,,,,,,,,,unmapped,
Column34,配賦元集計終了日付,,,,,,,,,,,unmapped,
Column35,配賦元管理仕訳区分,,,,,,,,,,,unmapped,
Column36,配賦元部門コード,,,,,,,,,,,unmapped,
Column37,配賦元部門名,,,,,,,,,,,unmapped,
Column38,配賦元科目コード,,,,,,,,,,,unmapped,
Column39,配賦元科目名,,,,,,,,,,,unmapped,
Column40,配賦元補助コード,,,,,,,,,,,unmapped,
Column41,配賦元補助名,,,,,,,,,,,unmapped,
Column42,配賦元金額,,,,,,,,,,,unmapped,
Column43,数字３,,,,,,,,,,,unmapped,
Column44,数字４,,,,,,,,,,,unmapped,
Column45,数字５,,,,,,,,,,,unmapped,
Column46,金額１,,,,,,,,,,,unmapped,
Column47,金額２,,,,,,,,,,,unmapped,
Column48,金額３,,,,,,,,,,,unmapped,
Column49,金額４,,,,,,,,,,,unmapped,
Column50,金額５,,,,,,,,,,,unmapped,
Column51,文字列１,,,,,,,,,,,unmapped,
Column52,文字列２,,,,,,,,,,,unmapped,
Column53,文字列３,,,,,,,,,,,unmapped,
Column54,文字列４,,,,,,,,,,,unmapped,
Column55,文字列５,,,,,,,,,,,unmapped,
Column56,入力日付時間,0..1,Date,5929,GE09eR_01,/JP07a/GE09eR_01,$.cor_AccountingEntries.cor_EntryHeader.cor_HeaderEntryDate,,,/JP07a/GE09eR_01,$.JP Journal Entry.Activities.(Created) Activity.Date,mapped,
Column57,借方取引先コード,,,,,,,,,,,unmapped,
Column58,借方取引先名,,,,,,,,,,,unmapped,
Column59,借方セグメント１コード,,,,,,,,,,,unmapped,
Column60,借方セグメント１名,,,,,,,,,,,unmapped,
Column61,借方セグメント２コード,,,,,,,,,,,unmapped,
Column62,借方セグメント２名,,,,,,,,,,,unmapped,
Column63,借方セグメント３コード,,,,,,,,,,,unmapped,
Column64,借方セグメント３名,,,,,,,,,,,unmapped,
Column65,貸方取引先コード,,,,,,,,,,,unmapped,
Column66,貸方取引先名,,,,,,,,,,,unmapped,
Column67,貸方セグメント１コード,,,,,,,,,,,unmapped,
Column68,貸方セグメント１名,,,,,,,,,,,unmapped,
Column69,貸方セグメント２コード,,,,,,,,,,,unmapped,
Column70,貸方セグメント２名,,,,,,,,,,,unmapped,
Column71,貸方セグメント３コード,,,,,,,,,,,unmapped,
Column72,貸方セグメント３名,,,,,,,,,,,unmapped,
Column73,配賦選択,,,,,,,,,,,unmapped,
Column74,配賦元取引先コード,,,,,,,,,,,unmapped,
Column75,配賦元取引先名,,,,,,,,,,,unmapped,
Column76,配賦元セグメント１コード,,,,,,,,,,,unmapped,
Column77,配賦元セグメント１名,,,,,,,,,,,unmapped,
Column78,配賦元セグメント２コード,,,,,,,,,,,unmapped,
Column79,配賦元セグメント２名,,,,,,,,,,,unmapped,
Column80,配賦元セグメント３コード,,,,,,,,,,,unmapped,
Column81,配賦元セグメント３名,,,,,,,,,,,unmapped,
Column79,配賦元セグメント２名,,,,,,,,,,,unmapped,
Column80,配賦元セグメント３コード,,,,,,,,,,,unmapped,
Column81,配賦元セグメント３名,,,,,,,,,,,unmapped,
